Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.040839845033086,33.70100021362305,126,-1,0.04084,unprognostic - favorable,0.23836904077398066,0.9977092800447007
ENSG00000000419,0.0520683175111088,32.44260025024414,356,1,0.05207,unprognostic - unfavorable,0.2904427389315267,0.9977092800447007
ENSG00000000457,0.3234499660643288,10.420700073242188,97,-1,0.3234,unprognostic - favorable,0.9236269093272668,0.9977092800447007
ENSG00000000460,0.0812424866241392,0.3495000004768371,379,1,0.08124,unprognostic - unfavorable,0.4164395890102747,0.9977092800447007
ENSG00000000938,0.0357384791336823,2.0011000633239746,309,-1,0.03574,unprognostic - favorable,0.21196970075748106,0.9977092800447007
ENSG00000000971,0.1847774701498687,3.9358999729156494,383,-1,0.1785,unprognostic - favorable,0.7263318417039574,0.9977092800447007
ENSG00000001036,0.1980496703698916,38.18159866333008,283,1,0.1981,unprognostic - unfavorable,0.7523811904702382,0.9977092800447007
ENSG00000001084,0.0235469904985585,16.599899291992188,327,1,0.02355,unprognostic - unfavorable,0.15092122696932578,0.9977092800447007
ENSG00000001167,0.3328731440598423,11.186699867248535,339,1,0.3329,unprognostic - unfavorable,0.9314517137071573,0.9977092800447007
ENSG00000001460,0.0498499498543544,4.914000034332275,235,-1,0.04985,unprognostic - favorable,0.2800179995500113,0.9977092800447007
ENSG00000001461,0.2081145900898774,47.93730163574219,169,1,0.2081,unprognostic - unfavorable,0.7715057123571911,0.9977092800447007
ENSG00000001497,0.0433989708771592,20.49670028686523,96,1,0.04368,unprognostic - unfavorable,0.2500937476563086,0.9977092800447007
ENSG00000001561,0.2551171074625126,17.805700302124023,181,1,0.2551,unprognostic - unfavorable,0.8471038224044399,0.9977092800447007
ENSG00000001617,0.084681156409356,26.6200008392334,181,-1,0.08468,unprognostic - favorable,0.43106422339441514,0.9977092800447007
ENSG00000001626,0.063069961757274,0.3312000036239624,348,-1,0.06307,unprognostic - favorable,0.3400164995875103,0.9977092800447007
ENSG00000001629,0.0385367435225696,8.602700233459473,285,1,0.03854,unprognostic - unfavorable,0.22734431639209018,0.9977092800447007
ENSG00000001630,0.0433691250526837,32.59389877319336,318,1,0.04337,unprognostic - unfavorable,0.24994375140621483,0.9977092800447007
ENSG00000001631,0.1377884828128997,11.392000198364258,111,-1,0.1378,unprognostic - favorable,0.6129596760080998,0.9977092800447007
ENSG00000002016,0.3999570733283636,6.077000141143799,96,1,0.4047,unprognostic - unfavorable,0.9723506912327192,0.9983251866650548
ENSG00000002330,0.0896454862903339,97.31729888916016,336,1,0.08965,unprognostic - unfavorable,0.4505387365315867,0.9977092800447007
ENSG00000002549,0.2583887591810599,56.25749969482422,205,1,0.2584,unprognostic - unfavorable,0.8509287267818304,0.9977092800447007
ENSG00000002586,0.1608190896641284,430.6310119628906,220,1,0.1608,unprognostic - unfavorable,0.6748581285467863,0.9977092800447007
ENSG00000002587,0.0588186266111839,6.001800060272217,133,-1,0.05882,unprognostic - favorable,0.3208169795755106,0.9977092800447007
ENSG00000002726,0.0061089865605885,0.3461000025272369,372,-1,0.006109,unprognostic - favorable,0.05102372440688983,0.9977092800447007
ENSG00000002746,0.2969610201889712,1.063599944114685,279,-1,0.297,unprognostic - favorable,0.8989525261868453,0.9977092800447007
ENSG00000002822,0.065751072350642,17.658599853515625,159,1,0.06575,unprognostic - unfavorable,0.351891202719932,0.9977092800447007
ENSG00000002834,0.1181611389110566,35.23870086669922,276,1,0.1182,unprognostic - unfavorable,0.5538861528461788,0.9977092800447007
ENSG00000002919,0.3209331710484265,15.11400032043457,135,1,0.3209,unprognostic - unfavorable,0.9214519637009074,0.9977092800447007
ENSG00000002933,0.0244016571919535,13.895099639892578,175,-1,0.0244,unprognostic - favorable,0.15529611759706008,0.9977092800447007
ENSG00000003056,0.0363158659992591,61.21620178222656,356,-1,0.03632,unprognostic - favorable,0.2150696232594185,0.9977092800447007
ENSG00000003096,0.2591419909298286,3.8036999702453618,163,-1,0.2591,unprognostic - favorable,0.8521286967825804,0.9977092800447007
ENSG00000003147,0.0850503036265226,54.53889846801758,383,-1,0.08171,unprognostic - favorable,0.43313917152071196,0.9977092800447007
