Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.2127478875545774,12.128499984741213,775,-1,0.1742,unprognostic - favorable,0.8270029324926688,0.9578198297895539
ENSG00000000419,0.0107797842547036,48.680999755859375,692,1,0.02049,unprognostic - unfavorable,0.112159719600701,0.5664804890510946
ENSG00000000457,0.1226443498908429,20.403099060058594,204,1,0.2926,unprognostic - unfavorable,0.6221659445851385,0.8867174589294027
ENSG00000000460,0.062042609037487,2.9107000827789307,742,1,0.09953,unprognostic - unfavorable,0.4036589908525229,0.7944000520983189
ENSG00000000938,0.0156329411187534,2.5673999786376953,812,-1,0.01169,unprognostic - favorable,0.14824462938842653,0.606245217365382
ENSG00000000971,0.2259636327062492,38.570499420166016,208,1,0.2434,unprognostic - unfavorable,0.848480378799053,0.9635239402328021
ENSG00000001036,0.0031115295413519,56.707000732421875,221,1,0.002166,unprognostic - unfavorable,0.042469893825265434,0.4386449280355672
ENSG00000001084,0.034592245190361,25.342300415039062,313,1,0.02245,unprognostic - unfavorable,0.26712433218916953,0.7090805535236616
ENSG00000001167,0.0294750165326755,22.892000198364254,546,1,0.04214,unprognostic - unfavorable,0.2377919055202362,0.6892799740978991
ENSG00000001460,0.3490605398691646,7.689499855041504,227,1,0.3044,unprognostic - unfavorable,0.9653075867310331,0.9933252825542124
ENSG00000001461,0.2156689031770737,10.011699676513672,697,1,0.182,unprognostic - unfavorable,0.8319179202051995,0.9587815200222644
ENSG00000001497,0.0059945380629287,26.92989921569824,209,1,0.008128,unprognostic - unfavorable,0.07138482153794616,0.5140992640129237
ENSG00000001561,0.0429228623646133,6.791800022125244,566,1,0.03307,unprognostic - unfavorable,0.31224921937695155,0.740972959325611
ENSG00000001617,0.2970559966776928,64.83760070800781,302,-1,0.2849,unprognostic - favorable,0.9311726720683199,0.9860827501665836
ENSG00000001629,0.0220436236769178,12.124500274658203,778,1,0.0294,unprognostic - unfavorable,0.19191702020744947,0.6491716688630838
ENSG00000001630,0.0896766332866327,68.252197265625,204,1,0.1182,unprognostic - unfavorable,0.5135062162344595,0.8453549649156453
ENSG00000001631,0.0988621457693934,15.78660011291504,323,1,0.1219,unprognostic - unfavorable,0.5461886345284137,0.8566271757831678
ENSG00000002016,0.0678281878223673,6.037099838256836,295,1,0.06643,unprognostic - unfavorable,0.4283314291714271,0.8059542571741278
ENSG00000002330,0.1791925297190136,75.65560150146484,442,-1,0.2038,unprognostic - favorable,0.7644605888485279,0.939809179296467
ENSG00000002549,0.2321692045856441,96.46620178222656,519,-1,0.18,unprognostic - favorable,0.8577403556491109,0.9674816015479866
ENSG00000002586,0.012861964278603,371.0379943847656,217,1,0.01839,unprognostic - unfavorable,0.12818967952580118,0.5877166706266652
ENSG00000002587,0.0134779035138079,2.674799919128418,246,1,0.0176,unprognostic - unfavorable,0.13277216806957984,0.5913677186609954
ENSG00000002726,0.0207459332563487,0.8100000023841858,277,1,0.02379,unprognostic - unfavorable,0.1835370411573971,0.6416070385488388
ENSG00000002822,0.1846363208050578,13.063899993896484,644,-1,0.1422,unprognostic - favorable,0.7753280616798458,0.9425372460950973
ENSG00000002834,0.2230155697905075,102.69499969482422,733,-1,0.256,unprognostic - favorable,0.8438478903802741,0.9618131755872608
ENSG00000002919,0.0184007162739112,12.892499923706056,813,1,0.01621,unprognostic - unfavorable,0.16794958012604969,0.626544545672361
ENSG00000002933,0.0338051503319511,34.260501861572266,678,-1,0.02886,unprognostic - favorable,0.26280934297664255,0.7084317754321893
ENSG00000003056,0.1428888179220225,121.95800018310548,314,1,0.1728,unprognostic - unfavorable,0.6789483026292434,0.9091459975305279
ENSG00000003096,0.1218230671439691,2.13319993019104,505,-1,0.1386,unprognostic - favorable,0.6196359509101227,0.8856788669236322
ENSG00000003137,0.1296819305642332,0.7516999840736389,745,1,0.1932,unprognostic - unfavorable,0.6426233934415164,0.8940870016948634
ENSG00000003147,0.0748135655167775,32.00859832763672,748,1,0.05996,unprognostic - unfavorable,0.45685885785285535,0.8211278972911216
ENSG00000003249,0.0678932338773568,18.608400344848633,741,1,0.06258,unprognostic - unfavorable,0.428643928390179,0.8059542571741278
ENSG00000003393,0.1532297589203675,3.1440999507904053,716,-1,0.2025,unprognostic - favorable,0.7053907365231586,0.9178277290513209
ENSG00000003400,0.056593801070676,2.9393999576568604,527,-1,0.03897,unprognostic - favorable,0.3794540513648716,0.77837545389266
ENSG00000003402,0.3930917070072693,21.15369987487793,815,-1,0.3748,unprognostic - favorable,0.9822775443061392,0.9967857617887231
ENSG00000003436,0.1425392745575674,5.461400032043457,724,1,0.154,unprognostic - unfavorable,0.6781083047292382,0.9090113464362015
ENSG00000003509,0.0222886564668161,9.204700469970703,229,1,0.02794,unprognostic - unfavorable,0.19356201609495977,0.6514198335629304
ENSG00000003756,0.1170131407091159,32.371700286865234,570,-1,0.1329,unprognostic - favorable,0.605273486816283,0.8812709480202349
ENSG00000003987,0.1877019999728216,0.4431999921798706,668,-1,0.1653,unprognostic - favorable,0.7813680465798836,0.9436484808340997
ENSG00000003989,0.110927724390217,76.70580291748047,223,-1,0.1337,unprognostic - favorable,0.5860660348349129,0.8755357065845666
ENSG00000004059,0.0814760768060065,303.3219909667969,279,-1,0.07589,unprognostic - favorable,0.48308129229676927,0.8322387499835875
ENSG00000004139,0.169513221872359,2.283799886703491,311,-1,0.2188,unprognostic - favorable,0.7434006414983962,0.9318302993499423
ENSG00000004142,0.0025457634248899,96.02880096435548,308,1,0.003393,unprognostic - unfavorable,0.036247409381476546,0.4179967798112001
ENSG00000004399,0.0001053502479183,62.52320098876953,328,1,7.571e-05,potential prognostic - unfavorable,0.002972492568768578,0.21791806073248637
ENSG00000004455,0.0596198377812923,161.4010009765625,402,-1,0.04795,unprognostic - favorable,0.39314401713995717,0.7874214807873195
ENSG00000004468,0.014080085716565,3.435499906539917,207,-1,0.01099,unprognostic - favorable,0.13720715698210753,0.5952002829871299
ENSG00000004478,0.0066919461903147,221.6320037841797,278,1,0.003229,unprognostic - unfavorable,0.07788730528173679,0.5217807905136987
ENSG00000004487,0.0876918498824348,78.75199890136719,205,1,0.09674,unprognostic - unfavorable,0.5061412346469134,0.8425039112980828
ENSG00000004534,0.0405644495740397,33.17179870605469,496,-1,0.053,unprognostic - favorable,0.2994742513143717,0.7303744597781364
ENSG00000004660,0.0045993495580603,5.962100028991699,339,1,0.003463,unprognostic - unfavorable,0.05784235539411151,0.48525711491931733
ENSG00000004700,0.0152088039879548,29.935800552368164,224,1,0.0232,unprognostic - unfavorable,0.14522713693215766,0.6027802059334442
ENSG00000004766,0.0772014107616416,2.3931000232696533,781,-1,0.1047,unprognostic - favorable,0.4661213346966633,0.8251535065489177
ENSG00000004776,0.1493579582191594,12.623600006103516,386,-1,0.1295,unprognostic - favorable,0.6957332606668484,0.9138585314368322
ENSG00000004777,0.0090057705921959,2.7760000228881836,757,-1,0.008717,unprognostic - favorable,0.09767225581936045,0.5470861322846693
ENSG00000004779,0.0001486359722376,165.125,469,1,8.251e-05,potential prognostic - unfavorable,0.0038424903937740156,0.24409672742051913
ENSG00000004799,0.008554141625524,13.711600303649902,422,-1,0.01074,unprognostic - favorable,0.09394476513808715,0.5431361559936022
ENSG00000004838,0.0058045779995055,21.03339958190918,213,-1,0.008918,unprognostic - favorable,0.0695523261191847,0.5083661752268465
ENSG00000004848,0.0167001166007014,0.8845999836921692,218,1,0.02575,unprognostic - unfavorable,0.15600960997597507,0.617099869653219
ENSG00000004864,0.0052689578835177,12.460100173950195,523,1,0.006022,unprognostic - unfavorable,0.06436983907540231,0.49740020247407
ENSG00000004866,0.1844015493201106,27.805299758911133,236,1,0.1373,unprognostic - unfavorable,0.7748205629485926,0.9425372460950973
ENSG00000004897,0.0076515524831209,13.91469955444336,794,1,0.006772,unprognostic - unfavorable,0.08632978417553956,0.5355179277868132
ENSG00000004961,4.147663201004667e-05,24.495500564575195,299,1,6.044e-05,potential prognostic - unfavorable,0.0014024964937587657,0.1779219247604055
ENSG00000004975,0.0772325642988771,12.907299995422363,688,-1,0.08219,unprognostic - favorable,0.4662613343466641,0.8251535065489177
ENSG00000005001,0.3220165336299875,2.9003000259399414,225,1,0.3333,unprognostic - unfavorable,0.9497726255684361,0.9897956859993216
ENSG00000005007,0.1361562854871936,38.40409851074219,475,1,0.1219,unprognostic - unfavorable,0.6608858477853805,0.9026929719446604
ENSG00000005020,0.1966648708727331,9.942099571228027,559,-1,0.1949,unprognostic - favorable,0.7984855037862405,0.9509107619021389
ENSG00000005022,0.000253287749016,305.77301025390625,462,1,0.0004658,potential prognostic - unfavorable,0.00586248534378664,0.26517325803949926
ENSG00000005059,0.0215258030580662,11.958499908447266,669,-1,0.01369,unprognostic - favorable,0.18866202834492915,0.6464044930775414
ENSG00000005075,0.2408088901933547,101.7959976196289,322,-1,0.2099,unprognostic - favorable,0.8698603253491867,0.9703846692527599
ENSG00000005100,0.0024119463040484,8.045499801635742,408,1,0.003703,unprognostic - unfavorable,0.03474741313146717,0.41632929548146147
ENSG00000005102,0.0127489484199441,0.519599974155426,791,-1,0.01604,unprognostic - favorable,0.1273896815257962,0.587334724845006
ENSG00000005156,0.0223837301718517,14.554499626159668,557,1,0.01683,unprognostic - unfavorable,0.194237014407464,0.6514198335629304
ENSG00000005175,0.0199839170983194,24.806900024414062,368,1,0.0277,unprognostic - unfavorable,0.17844205389486525,0.6367251878791125
ENSG00000005187,0.0739755975413831,1.2734999656677246,790,-1,0.099,unprognostic - favorable,0.45341636645908384,0.8197638203711454
ENSG00000005189,0.043730236061185,2.8543999195098877,798,1,0.03884,unprognostic - unfavorable,0.3166492083769791,0.7453364474042832
ENSG00000005194,0.0011144358461078,28.651899337768555,643,1,0.001527,unprognostic - unfavorable,0.018879952800117998,0.3598767874048057
ENSG00000005206,0.0349320140135976,27.680299758911133,257,1,0.03719,unprognostic - unfavorable,0.26909182727043185,0.7106771665547303
ENSG00000005238,0.0056372893256154,15.32390022277832,220,1,0.008651,unprognostic - unfavorable,0.06781483046292384,0.5047706947059163
ENSG00000005243,0.2640303491480731,41.62670135498047,210,1,0.3219,unprognostic - unfavorable,0.8984927537681155,0.9777853721622128
ENSG00000005249,0.2138038224858862,7.927000045776367,553,-1,0.2303,unprognostic - unfavorable,0.8288404278989302,0.9583136242001105
ENSG00000005302,0.0187541106619582,15.369099617004396,346,1,0.02587,unprognostic - unfavorable,0.17032457418856453,0.6297556954058539
ENSG00000005339,0.1795358611117057,15.306699752807615,771,1,0.1502,unprognostic - unfavorable,0.7651355871610321,0.9401459335281224
ENSG00000005379,0.1216553896624651,2.7667999267578125,815,-1,0.1314,unprognostic - favorable,0.6191009522476194,0.8856788669236322
ENSG00000005436,0.0870944254475705,18.232799530029297,253,1,0.1006,unprognostic - unfavorable,0.5041537396156509,0.8423230573478409
ENSG00000005448,0.0623709335871162,25.88279914855957,233,1,0.04485,unprognostic - unfavorable,0.4050264874337814,0.7954942683321805
ENSG00000005469,0.2165128691280751,13.291000366210938,546,-1,0.2024,unprognostic - favorable,0.8333404166489584,0.9591098361714494
ENSG00000005483,0.175915882536462,34.106300354003906,237,1,0.2129,unprognostic - unfavorable,0.7575106062234844,0.9374027767220658
ENSG00000005486,0.160314415573095,86.34149932861328,445,1,0.1128,unprognostic - unfavorable,0.7224531938670153,0.9250185068201774
ENSG00000005513,0.0226806806497778,0.396699994802475,389,-1,0.01954,unprognostic - favorable,0.19613450966372584,0.6528419715911695
ENSG00000005700,0.0236185965542026,8.198699951171875,519,1,0.02004,unprognostic - unfavorable,0.20204199489501276,0.6567715382182133
ENSG00000005801,0.1609005963748097,10.164400100708008,741,-1,0.1423,unprognostic - favorable,0.7238531903670241,0.9256104186237957
ENSG00000005810,0.0613470081549334,15.621700286865234,794,-1,0.0586,unprognostic - favorable,0.40062899842750394,0.7921593727379995
ENSG00000005812,0.3930421049277075,34.45600128173828,357,1,0.3678,unprognostic - unfavorable,0.9822575443561391,0.9967857617887231
ENSG00000005844,0.0112513181397912,7.733399868011475,405,-1,0.01304,unprognostic - favorable,0.11584221039447401,0.5708756980639621
ENSG00000005882,0.0913232545799117,37.49520111083984,243,1,0.08486,unprognostic - unfavorable,0.519531201171997,0.8473191104684284
ENSG00000005884,0.096067515392362,14.088199615478516,733,-1,0.1207,unprognostic - favorable,0.5364111589721026,0.8537635889605927
ENSG00000005889,0.0830160819893105,8.421500205993652,786,1,0.0875,unprognostic - unfavorable,0.4887062782343044,0.8346655755408776
ENSG00000005893,0.0157913260741704,88.52410125732422,401,1,0.02208,unprognostic - unfavorable,0.14928712678218303,0.6073479901353229
ENSG00000006007,0.0380809438302213,70.4655990600586,252,1,0.02433,unprognostic - unfavorable,0.2865142837142907,0.7216776390034163
ENSG00000006015,0.1262493945399071,14.17430019378662,733,-1,0.1551,unprognostic - favorable,0.632638418403954,0.8888134623669218
ENSG00000006016,0.2570998483377451,1.7111999988555908,587,-1,0.2381,unprognostic - unfavorable,0.8904627738430654,0.9756725321024535
ENSG00000006025,0.4168876904390296,4.679100036621094,355,-1,0.4601,unprognostic - favorable,0.9881475296311759,0.9982220067293526
ENSG00000006042,0.1376570591177477,92.94640350341795,206,-1,0.1545,unprognostic - favorable,0.664963337591656,0.9033238476608078
ENSG00000006047,0.0085749018129469,3.946099996566773,209,1,0.01031,unprognostic - unfavorable,0.09410226474433814,0.5431361559936022
ENSG00000006062,0.3552919634060077,4.155200004577637,569,1,0.3275,unprognostic - favorable,0.968165079587301,0.9941147600916055
ENSG00000006071,0.2719163285593145,0.1826999932527542,768,-1,0.297,unprognostic - unfavorable,0.9071752320619199,0.9797789533478544
ENSG00000006118,0.0200858728676804,80.13009643554688,256,1,0.02955,unprognostic - unfavorable,0.17911455221361947,0.6374974877395693
ENSG00000006125,0.0699403966960019,144.89100646972656,286,1,0.0718,unprognostic - unfavorable,0.4370439073902315,0.8099225726431306
ENSG00000006128,0.0008538893003391,0.2321999967098236,507,-1,0.001042,unprognostic - favorable,0.015232461918845202,0.3350372438022393
ENSG00000006194,0.0224247332846143,43.33980178833008,212,1,0.02612,unprognostic - unfavorable,0.19451701370746574,0.651471238057442
ENSG00000006210,0.0105273869380071,14.550299644470217,564,-1,0.008238,unprognostic - favorable,0.11017222456943858,0.5642496187877177
ENSG00000006282,0.0788333768903662,25.25950050354004,435,-1,0.08449,unprognostic - favorable,0.47272881817795454,0.8277164406585507
ENSG00000006327,0.0362867430880897,111.63600158691406,265,-1,0.02881,unprognostic - favorable,0.2766693083267292,0.7141820063221724
ENSG00000006432,0.0642879603035791,1.2538000345230105,807,1,0.04948,unprognostic - unfavorable,0.4134139664650838,0.8008773455894295
ENSG00000006451,0.0171281444391642,57.00600051879883,212,1,0.02556,unprognostic - unfavorable,0.15893710265724337,0.6172836271396146
ENSG00000006453,0.1376635124469608,16.287799835205078,536,1,0.1394,unprognostic - unfavorable,0.6649783375541561,0.9033238476608078
ENSG00000006459,0.1140279037104991,1.5651999711990356,773,1,0.1639,unprognostic - unfavorable,0.5962235094412264,0.8782489797055023
ENSG00000006468,0.134016650104513,6.805300235748291,251,-1,0.1104,unprognostic - favorable,0.6551033622415944,0.8995383922037797
ENSG00000006530,0.0469053506194047,11.332300186157228,750,1,0.04082,unprognostic - unfavorable,0.33279166802082993,0.7516364993917236
ENSG00000006534,0.2754526486942296,4.984799861907959,782,1,0.2585,unprognostic - unfavorable,0.9108302229244427,0.9806047573656803
ENSG00000006555,0.0012936334787817,1.4050999879837036,784,-1,0.002126,unprognostic - favorable,0.021339946650133376,0.3662490669557298
ENSG00000006576,0.3112459417855213,13.814599990844728,346,1,0.278,unprognostic - favorable,0.9423451441371397,0.9873875266834384
ENSG00000006606,0.1415137935711139,0.4821000099182129,814,-1,0.134,unprognostic - favorable,0.6753683115792211,0.9077581039350027
ENSG00000006607,0.0958048746438408,17.173999786376953,282,1,0.1081,unprognostic - unfavorable,0.5354286614283464,0.8536400962570974
ENSG00000006625,0.0002494214833599,132.8249969482422,404,1,0.0004281,potential prognostic - unfavorable,0.0057874855312861715,0.2638550825497936
ENSG00000006638,0.0999010962989216,2.816999912261963,224,1,0.09853,unprognostic - unfavorable,0.5495586261034348,0.8580129296065203
ENSG00000006652,0.0510527499901092,3.45959997177124,658,1,0.07503,unprognostic - unfavorable,0.353114117214707,0.7650325989980751
ENSG00000006695,0.0271214827402704,8.455300331115723,450,1,0.03834,unprognostic - unfavorable,0.22381694045764886,0.6751806704316194
ENSG00000006704,0.0362475856850378,30.281400680541992,206,1,0.04261,unprognostic - unfavorable,0.2764493088767278,0.7141820063221724
ENSG00000006712,0.0807797955429448,49.59360122680664,717,-1,0.07569,unprognostic - favorable,0.4804187989530026,0.831217962277675
ENSG00000006715,0.0030133290551151,41.12730026245117,209,1,0.004616,unprognostic - unfavorable,0.041427396431508924,0.437009607042143
