Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.17805056335886,18.708599090576172,134,-1,0.1781,unprognostic - favorable,0.7173307066732333,0.896308557551529
ENSG00000000419,0.1360049300702156,80.10489654541016,41,-1,0.136,unprognostic - favorable,0.6149259626850933,0.8569420487932947
ENSG00000000457,0.2624867480715299,6.280399799346924,76,-1,0.2625,unprognostic - favorable,0.8602553493616266,0.9518632798324007
ENSG00000000460,0.0039509161405303,3.19950008392334,106,1,0.003951,unprognostic - unfavorable,0.04733988165029587,0.5180157331924649
ENSG00000000938,0.0030888735664092,7.684199810028076,41,-1,0.003089,unprognostic - favorable,0.03910240224399439,0.5046318860772256
ENSG00000000971,0.2819120809101996,34.58760070800781,63,-1,0.2819,unprognostic - favorable,0.8837577906055235,0.9607722859882483
ENSG00000001036,0.2261790477106238,59.197898864746094,43,1,0.2262,unprognostic - unfavorable,0.8074929812675469,0.9334501069026708
ENSG00000001084,0.0534810335822463,18.379899978637695,104,-1,0.05348,unprognostic - favorable,0.3338616653458366,0.7235703044610006
ENSG00000001167,0.0141944985884138,10.21049976348877,122,-1,0.01419,unprognostic - favorable,0.12559218601953495,0.5794127270841015
ENSG00000001460,0.036745525219568,5.181300163269043,131,-1,0.03675,unprognostic - favorable,0.25522686193284516,0.6826692313928396
ENSG00000001461,0.2440470586819481,12.810500144958496,80,-1,0.244,unprognostic - favorable,0.8349654125864685,0.94218064971773
ENSG00000001497,0.1039543270596138,29.619199752807617,62,-1,0.104,unprognostic - favorable,0.5203736990657524,0.8161806103966595
ENSG00000001561,0.002799670994295,1.7007999420166016,120,-1,0.0028,unprognostic - favorable,0.036099909750225624,0.4961666429324049
ENSG00000001617,0.0706318711227095,104.21700286865234,37,-1,0.07063,unprognostic - favorable,0.4038214904462739,0.7610335374161564
ENSG00000001629,0.0163647292410292,13.462900161743164,80,-1,0.01636,unprognostic - favorable,0.13980215049462377,0.5869020980121501
ENSG00000001630,0.0411321234183931,38.22520065307617,88,-1,0.04113,unprognostic - favorable,0.27680680798298,0.6906697656332782
ENSG00000001631,0.2643620588089391,8.8193998336792,65,-1,0.2644,unprognostic - favorable,0.8626228434428914,0.9529853938005179
ENSG00000002016,0.168525660397814,3.5269999504089355,92,-1,0.1685,unprognostic - favorable,0.6959182602043494,0.8875045838942579
ENSG00000002330,0.1465364470840609,68.70680236816406,131,1,0.1465,unprognostic - unfavorable,0.6427958930102675,0.8656836203126722
ENSG00000002549,0.0165086612606339,42.51729965209961,105,-1,0.01651,unprognostic - favorable,0.14065214836962908,0.5881652010155688
ENSG00000002586,0.3104568797697378,161.28799438476562,131,1,0.3105,unprognostic - unfavorable,0.9133727165682086,0.971618606441351
ENSG00000002587,0.0079747279500675,15.007800102233888,48,-1,0.007975,unprognostic - favorable,0.08142979642550893,0.5431587020861067
ENSG00000002726,0.0271518615417537,0.1454000025987625,117,1,0.02715,unprognostic - unfavorable,0.20416698958252605,0.6440370702087238
ENSG00000002746,0.095517446219618,1.0216000080108645,55,1,0.09552,unprognostic - unfavorable,0.4928137679655801,0.8045076432865095
ENSG00000002822,0.3040280364302178,20.292800903320312,83,1,0.304,unprognostic - unfavorable,0.907035232411919,0.9689026823978607
ENSG00000002834,0.0501321519388574,111.2979965209961,101,-1,0.05013,unprognostic - favorable,0.3188142029644926,0.7167624546692057
ENSG00000002919,0.0594721717123826,12.177599906921388,126,-1,0.05947,unprognostic - favorable,0.35922910192724516,0.7390145132811939
ENSG00000002933,0.0590183789220602,13.94890022277832,125,-1,0.05902,unprognostic - favorable,0.3573616065959835,0.7371570081532681
ENSG00000003056,0.2468543267578461,77.86270141601562,129,1,0.2469,unprognostic - unfavorable,0.8390904022739943,0.9433293224589544
ENSG00000003096,0.1490566608235067,3.4611001014709473,39,-1,0.1491,unprognostic - favorable,0.6492233769415576,0.8681689793714131
ENSG00000003137,0.0357483367048751,4.329999923706055,34,1,0.09774,unprognostic - unfavorable,0.2501293746765633,0.6796143620214293
ENSG00000003147,0.0110066528290038,20.469999313354492,97,-1,0.01101,unprognostic - favorable,0.10399474001314997,0.5613562223490891
ENSG00000003249,0.0783323938501534,14.431500434875488,92,-1,0.07833,unprognostic - favorable,0.4327364181589546,0.7781689367499152
ENSG00000003393,0.0194388312352655,3.0985000133514404,68,-1,0.01944,unprognostic - favorable,0.15904710238224404,0.6069729142674015
ENSG00000003400,0.0057569832913748,4.8155999183654785,95,-1,0.005757,unprognostic - favorable,0.06343734140664649,0.531668229062359
ENSG00000003402,0.0742682252286087,32.73889923095703,81,-1,0.07427,unprognostic - favorable,0.4173064567338582,0.7684887121367865
ENSG00000003436,0.1876037001163075,14.378899574279783,87,1,0.1876,unprognostic - unfavorable,0.7377806555483611,0.9064341353278513
ENSG00000003509,0.1088702494480705,8.9266996383667,54,1,0.1089,unprognostic - unfavorable,0.5360486598783503,0.8218504393510672
ENSG00000003756,0.1028241379407332,22.97610092163086,111,-1,0.1028,unprognostic - favorable,0.5166612083469792,0.8155068483279174
ENSG00000003989,0.026428848522944,6.2006001472473145,36,-1,0.02643,unprognostic - favorable,0.2000769998075005,0.6408854693555978
ENSG00000004059,0.0850105800160743,264.9469909667969,104,-1,0.08501,unprognostic - favorable,0.4569138577153557,0.7905541331452504
ENSG00000004139,0.0824991522115194,1.479200005531311,65,-1,0.0825,unprognostic - favorable,0.44790888022779946,0.785507592106665
ENSG00000004142,0.184664487702763,92.68820190429688,70,-1,0.1847,unprognostic - favorable,0.7315906710233224,0.9035850693526176
ENSG00000004399,0.0955899439519622,24.818300247192383,43,-1,0.09559,unprognostic - favorable,0.4930262674343314,0.8045076432865095
ENSG00000004455,0.0358010494694493,99.856201171875,133,1,0.02518,unprognostic - unfavorable,0.25042437393906514,0.6797246301789415
ENSG00000004468,0.1949813969558797,1.2180999517440796,67,-1,0.195,unprognostic - favorable,0.7525681185797035,0.9132427883928627
ENSG00000004478,0.0199716943288443,55.80970001220703,134,1,0.01488,unprognostic - unfavorable,0.1624770938072655,0.6101109011368757
ENSG00000004487,0.0216109988510863,85.35759735107422,83,1,0.02161,unprognostic - unfavorable,0.17236206909482726,0.6176026538870709
ENSG00000004534,0.0094063560345994,31.323699951171875,109,-1,0.009406,unprognostic - favorable,0.0921922695193262,0.5480312407393035
ENSG00000004660,0.1331683355795088,3.49429988861084,88,-1,0.1332,unprognostic - favorable,0.6071634820912948,0.8523704423982522
ENSG00000004700,0.1675899285026259,20.09830093383789,53,1,0.1676,unprognostic - unfavorable,0.6937282656793358,0.8864668402880416
ENSG00000004766,0.066221305160315,1.432600021362305,124,1,0.06622,unprognostic - unfavorable,0.3866340334149165,0.7535506734566497
ENSG00000004776,0.0032922413777865,9.584699630737305,93,-1,0.003292,unprognostic - favorable,0.04107739730650673,0.5088796091569092
ENSG00000004777,0.0202992987094317,8.33489990234375,44,-1,0.0203,unprognostic - favorable,0.16445458886352785,0.6115708710728223
ENSG00000004779,0.0680576406221698,158.14100646972656,54,1,0.06806,unprognostic - unfavorable,0.39381401546496136,0.7576838751222427
ENSG00000004799,0.1344515705829937,8.661499977111816,49,-1,0.1345,unprognostic - favorable,0.6106109734725663,0.8544221808844386
ENSG00000004838,0.0452563271995034,0.0,119,1,0.04526,unprognostic - unfavorable,0.2964292589268527,0.7034110654034046
ENSG00000004864,0.2018047925097094,20.69379997253418,50,-1,0.2018,unprognostic - favorable,0.7655855860360349,0.9174340415535798
ENSG00000004866,0.1574267347640764,14.642999649047852,99,-1,0.1574,unprognostic - favorable,0.669750825622936,0.8771362091334566
ENSG00000004897,0.0338450602912973,18.375600814819336,65,-1,0.03385,unprognostic - favorable,0.2404493988765028,0.6719898897036831
ENSG00000004939,0.1324929567459795,1.159000039100647,42,-1,0.1325,unprognostic - favorable,0.6052909867725331,0.8510938233393124
ENSG00000004961,0.26114877892268,16.875,118,1,0.2611,unprognostic - unfavorable,0.8585303536741158,0.9510556346559953
ENSG00000004975,0.2343899240987213,13.39430046081543,121,-1,0.135,unprognostic - favorable,0.8202229494426264,0.9373537804042331
ENSG00000005001,0.4398154714044074,1.5966999530792236,61,-1,0.4398,unprognostic - favorable,0.9827525431186422,0.9946093551074541
ENSG00000005007,0.0912931456505664,34.625,70,-1,0.09129,unprognostic - favorable,0.47874630313424216,0.7993343674842597
ENSG00000005020,0.0061641497080259,20.35610008239746,68,-1,0.006164,unprognostic - favorable,0.06689233276916808,0.5350457995426083
ENSG00000005022,0.0016922456331957,310.468994140625,87,1,0.001692,unprognostic - unfavorable,0.024567438581403547,0.4748502112913583
ENSG00000005059,0.0966527935614973,13.949600219726562,64,-1,0.09665,unprognostic - favorable,0.49648875877810306,0.8068080520068127
ENSG00000005073,0.0747752766050843,5.8292999267578125,69,-1,0.07478,unprognostic - favorable,0.4192639518401204,0.7694397774314843
ENSG00000005075,0.1116389488580577,114.3239974975586,64,1,0.1116,unprognostic - unfavorable,0.5443436391409021,0.8256510191105276
ENSG00000005100,0.0793711030355128,8.431500434875488,66,-1,0.07937,unprognostic - favorable,0.4365714085714786,0.7800460618814177
ENSG00000005102,0.1544962106094556,0.4156000018119812,97,1,0.1545,unprognostic - unfavorable,0.6627883430291425,0.8733334945864658
ENSG00000005156,0.139125594003346,5.593699932098389,133,1,0.1391,unprognostic - unfavorable,0.6234609413476466,0.8584852549754297
ENSG00000005175,0.0284536814052528,12.859800338745115,116,1,0.02845,unprognostic - unfavorable,0.21139697150757122,0.6495449537002341
ENSG00000005187,0.1498604805038702,2.006700038909912,95,-1,0.1499,unprognostic - favorable,0.6512183719540701,0.8692209107609029
ENSG00000005189,0.0159903243022908,1.6437000036239624,117,1,0.01599,unprognostic - unfavorable,0.13738215654460864,0.5868065687493699
ENSG00000005194,0.0329612542619145,32.482200622558594,117,1,0.03296,unprognostic - unfavorable,0.23583691040772398,0.6690830413842748
ENSG00000005206,0.0963956727567969,25.559900283813477,72,-1,0.0964,unprognostic - favorable,0.4956037609905975,0.8062545778558664
ENSG00000005238,0.1029249144661291,18.56410026550293,42,-1,0.1029,unprognostic - favorable,0.5170562073594817,0.8155068483279174
ENSG00000005243,0.0933221594326561,21.786500930786133,57,1,0.09332,unprognostic - unfavorable,0.4855887860280349,0.8018615138437829
ENSG00000005249,0.0148069560098328,0.916100025177002,93,-1,0.01481,unprognostic - favorable,0.12956467608830977,0.5821428919371755
ENSG00000005302,0.0998262680383832,7.876399993896484,133,1,0.09983,unprognostic - unfavorable,0.5070187324531689,0.812616664730268
ENSG00000005339,0.0034371109355038,7.314799785614014,129,-1,0.003437,unprognostic - favorable,0.04250739373151567,0.5090268407932218
ENSG00000005379,0.0014126944418804,5.007999897003174,43,-1,0.001413,unprognostic - favorable,0.021394946512633718,0.4722191064612973
ENSG00000005436,0.0023116553265,24.074499130249023,34,-1,0.003733,unprognostic - favorable,0.03120492198769503,0.48978138643363067
ENSG00000005448,0.0002266364535032,18.478599548339844,87,1,0.0002266,potential prognostic - unfavorable,0.005032487418781453,0.3707084264627647
ENSG00000005469,0.0243245612763741,10.307100296020508,128,-1,0.02432,unprognostic - favorable,0.18814952962617593,0.6297249562998541
ENSG00000005483,0.0007957046786977,23.07390022277832,39,-1,0.0007957,potential prognostic - favorable,0.013459966350084125,0.43955202339068394
ENSG00000005486,0.0890831738965183,118.59400177001952,40,-1,0.08908,unprognostic - favorable,0.4711538221154447,0.7968491752192739
ENSG00000005700,0.1834771259469352,1.8593000173568728,97,-1,0.1835,unprognostic - favorable,0.7290656773358066,0.9025135714688899
ENSG00000005801,0.0210029076248483,15.833100318908691,53,-1,0.021,unprognostic - favorable,0.16876457808855477,0.6144327393345076
ENSG00000005810,0.0013545066167243,33.114898681640625,37,-1,0.001355,unprognostic - favorable,0.020629948425128938,0.470719823200442
ENSG00000005812,0.0095443412456118,19.10199928283691,51,-1,0.009544,unprognostic - favorable,0.09322726693183267,0.5488635290906735
ENSG00000005844,0.1703078547251997,0.414900004863739,92,1,0.1703,unprognostic - unfavorable,0.7000757498106255,0.8895538995591443
ENSG00000005882,0.1203360079986017,29.525400161743164,34,-1,0.1361,unprognostic - favorable,0.5708460728848178,0.8379952112739076
ENSG00000005884,0.0722015465587213,180.63900756835935,35,-1,0.0722,unprognostic - favorable,0.4095789760525599,0.7643943219171736
ENSG00000005889,0.0478266921677719,9.15470027923584,35,-1,0.04783,unprognostic - favorable,0.3082842292894268,0.7103888936285204
ENSG00000005893,0.2902384691904625,29.690000534057617,130,1,0.2902,unprognostic - unfavorable,0.8928677678305804,0.9634285458161567
ENSG00000005961,0.0244040830357941,0.0087000001221895,129,1,0.0244,unprognostic - unfavorable,0.18862702843242893,0.6308891170943476
ENSG00000006007,0.1024788248191433,72.69190216064453,34,-1,0.1083,unprognostic - favorable,0.5155612110969723,0.8152021923054281
ENSG00000006015,0.0987491097960376,25.865800857543945,105,1,0.09875,unprognostic - unfavorable,0.5034787413031467,0.811033628524526
ENSG00000006016,0.0369069683443108,0.4984000027179718,103,1,0.03691,unprognostic - unfavorable,0.25605685985785037,0.6826692313928396
ENSG00000006025,0.0084726575465284,3.05430006980896,124,-1,0.008473,unprognostic - favorable,0.08517978705053238,0.5431587020861067
ENSG00000006042,0.0087155296696556,136.87100219726562,35,-1,0.008716,unprognostic - favorable,0.08700478248804377,0.543630909758342
ENSG00000006062,0.0565185521769,4.854100227355957,49,-1,0.05652,unprognostic - favorable,0.3469491326271684,0.7314204174073861
ENSG00000006118,0.1250287632928765,40.738399505615234,111,-1,0.125,unprognostic - favorable,0.5845385386536534,0.8435443161170137
ENSG00000006125,0.0493866286714699,43.24480056762695,110,1,0.04939,unprognostic - unfavorable,0.3154892112769718,0.7159329178791481
ENSG00000006128,0.2451529563215854,0.026300000026822,70,1,0.2452,unprognostic - unfavorable,0.8365504086239784,0.94218064971773
ENSG00000006194,0.0096698849683508,29.062000274658203,36,-1,0.00967,unprognostic - favorable,0.09424976437558906,0.5501152248715547
ENSG00000006210,0.1062657485554371,20.703500747680664,41,-1,0.1063,unprognostic - favorable,0.5279261801845495,0.8189987434575952
ENSG00000006282,0.0548763932587004,12.348999977111816,115,1,0.05488,unprognostic - unfavorable,0.3399066502333744,0.7276041789364657
ENSG00000006327,0.0912769796746679,178.5959930419922,55,1,0.09128,unprognostic - unfavorable,0.4786888032779918,0.7993343674842597
ENSG00000006377,0.0405978653126873,2.9042000770568848,44,-1,0.0406,unprognostic - favorable,0.27421431446421385,0.6901622601390064
ENSG00000006432,0.0481380783915978,2.4289000034332275,56,-1,0.04814,unprognostic - favorable,0.3096317259206852,0.7103888936285204
ENSG00000006451,0.2384033171975265,39.67259979248047,51,-1,0.2384,unprognostic - favorable,0.826387934030165,0.9388929933139479
ENSG00000006453,0.1667743571687544,26.074199676513672,110,1,0.1668,unprognostic - unfavorable,0.6917807705480736,0.885566650934034
ENSG00000006459,0.001380033039285,0.120399996638298,133,1,0.00138,unprognostic - unfavorable,0.020949947625130937,0.470719823200442
ENSG00000006468,0.0205399357548026,2.0144999027252197,72,-1,0.02054,unprognostic - favorable,0.16594708513228718,0.6132903905262183
ENSG00000006530,0.1718286154629914,15.779199600219728,42,-1,0.1718,unprognostic - favorable,0.7035882410293974,0.8906056687247493
ENSG00000006534,0.0482447509055316,10.815899848937988,74,-1,0.04824,unprognostic - favorable,0.31011672470818824,0.7110373411625377
ENSG00000006555,0.2060144358323308,4.797599792480469,131,-1,0.206,unprognostic - favorable,0.7733655665860836,0.9215384969700842
ENSG00000006576,0.1551032878744572,12.412099838256836,39,-1,0.1551,unprognostic - favorable,0.6641883395291511,0.8741652843793949
ENSG00000006606,0.0036283150050337,0.6195999979972839,68,1,0.003628,unprognostic - unfavorable,0.044327389181527045,0.5118691238082032
ENSG00000006607,0.0550404550325091,13.903599739074709,47,-1,0.05504,unprognostic - favorable,0.3406516483708791,0.7277054111680742
ENSG00000006625,0.1453443730701782,64.38690185546875,130,1,0.1453,unprognostic - unfavorable,0.6396709008227479,0.8640063652870751
ENSG00000006638,0.0647806185862262,4.6072001457214355,41,-1,0.06478,unprognostic - favorable,0.3808590478523804,0.7509143134477029
ENSG00000006652,0.1539540414176195,1.330299973487854,134,1,0.1219,unprognostic - unfavorable,0.6614533463666341,0.8730059719294142
ENSG00000006695,0.2127215169048494,10.673700332641602,43,-1,0.2127,unprognostic - favorable,0.7853030367424081,0.9257214605307857
ENSG00000006704,0.0007964225994258,39.95399856567383,39,-1,0.0007964,potential prognostic - favorable,0.013467466331334171,0.43955202339068394
ENSG00000006712,0.0058199057100342,48.9114990234375,122,-1,0.00582,unprognostic - favorable,0.06409233976915057,0.5342704819876126
ENSG00000006715,0.0103156810358498,24.641000747680664,43,-1,0.01032,unprognostic - favorable,0.09903475241311897,0.5534048174776784
ENSG00000006740,0.0730383522683236,0.0,124,1,0.07304,unprognostic - unfavorable,0.4125914685213287,0.7657130749154318
ENSG00000006744,0.0071138179226378,23.87380027770996,108,1,0.007114,unprognostic - unfavorable,0.07458231354421614,0.5375819498722859
ENSG00000006747,0.0184829663049791,6.35260009765625,39,1,0.01848,unprognostic - unfavorable,0.1530871172822068,0.5998933180587733
ENSG00000006756,0.0630518611570352,23.56909942626953,38,-1,0.06305,unprognostic - favorable,0.3740490648773378,0.7465886230676192
ENSG00000006757,0.0593368741956964,9.69279956817627,129,1,0.05934,unprognostic - unfavorable,0.358721603195992,0.7388292605887647
ENSG00000006831,0.0270927228298764,17.199100494384766,72,1,0.02709,unprognostic - unfavorable,0.20383449041377397,0.6435134301437603
ENSG00000006837,0.0337618091821345,0.1430999934673309,130,1,0.03376,unprognostic - unfavorable,0.2399544001139997,0.6718539083184232
ENSG00000007038,0.0126580681199095,0.5612999796867371,45,1,0.01266,unprognostic - unfavorable,0.11563971090072275,0.5741211190450285
ENSG00000007047,0.0832855163417176,31.779399871826172,51,-1,0.08329,unprognostic - favorable,0.45083887290281777,0.7865127732018146
ENSG00000007062,0.0311058801530056,0.0190999992191791,103,1,0.03111,unprognostic - unfavorable,0.22587943530141175,0.661504060525563
ENSG00000007080,0.1862313990157278,127.85199737548828,67,-1,0.1862,unprognostic - favorable,0.7349306626733433,0.905101830225512
ENSG00000007129,0.0077326536529597,0.4289999902248382,56,1,0.007733,unprognostic - unfavorable,0.07949230126924682,0.5425920327191733
ENSG00000007168,0.1243517285493818,30.10810089111328,44,-1,0.1244,unprognostic - favorable,0.5826110434723913,0.8422051588435386
ENSG00000007171,0.0128412057005986,0.065200001001358,114,1,0.01284,unprognostic - unfavorable,0.11685970785073037,0.5741468595944793
ENSG00000007202,0.1670984389360235,25.72719955444336,110,-1,0.1671,unprognostic - favorable,0.6925207686980782,0.885566650934034
ENSG00000007237,0.0600977126142611,1.0529999732971191,133,-1,0.0601,unprognostic - favorable,0.36192659518351206,0.7413248082091695
ENSG00000007255,0.0162606718243534,76.06770324707031,65,-1,0.01626,unprognostic - favorable,0.13911465221336947,0.5868065687493699
ENSG00000007264,0.2284943427777222,1.2273999452590942,87,-1,0.2285,unprognostic - favorable,0.8109854725363187,0.9344867732801854
ENSG00000007306,0.1557734142465047,0.0135000003501772,87,1,0.1558,unprognostic - unfavorable,0.6657933355166612,0.87501526428968
ENSG00000007312,0.1462991329652166,1.0298000574111938,88,1,0.1463,unprognostic - unfavorable,0.6421383946540133,0.8654158589862018
ENSG00000007341,0.2210680865788253,0.5206999778747559,131,-1,0.2211,unprognostic - favorable,0.7993105017237457,0.9303704587628483
ENSG00000007372,0.0679539823548403,4.2565999031066895,38,-1,0.06795,unprognostic - favorable,0.39341901645245886,0.7576838751222427
ENSG00000007376,0.2427265003629,23.02910041809082,98,-1,0.2427,unprognostic - favorable,0.8329454176364559,0.9415295007526768
ENSG00000007384,0.0175275879461955,12.876299858093262,119,1,0.01753,unprognostic - unfavorable,0.1471346321634196,0.5940738841098956
ENSG00000007392,0.0487971586025654,40.70970153808594,43,-1,0.0488,unprognostic - favorable,0.3126567183582041,0.7129636931490991
ENSG00000007516,0.166489964014986,0.7103999853134155,125,-1,0.1665,unprognostic - favorable,0.6910732723168193,0.8852461475691419
ENSG00000007520,0.1607703409590246,65.98529815673828,91,1,0.1608,unprognostic - unfavorable,0.6776758058104855,0.8787684223124431
ENSG00000007541,0.0097371966791317,5.538700103759766,134,1,0.009737,unprognostic - unfavorable,0.09479226301934245,0.5508625822546068
ENSG00000007545,0.0214033108249322,5.508500099182129,78,-1,0.0214,unprognostic - favorable,0.1711370721573196,0.6164310316900578
ENSG00000007866,0.3012274991262884,36.625999450683594,46,1,0.3012,unprognostic - unfavorable,0.9042677393306516,0.9684980865328875
ENSG00000007908,0.0120972186570418,0.8361999988555908,98,-1,0.0121,unprognostic - favorable,0.11173722065694836,0.5705246547694441
ENSG00000007923,0.1060913720885187,19.38719940185547,133,1,0.1061,unprognostic - unfavorable,0.5273911815220462,0.8187590599604043
ENSG00000007933,0.196011882981028,0.2818999886512756,102,1,0.196,unprognostic - unfavorable,0.7546456133859666,0.9139402068521049
ENSG00000007944,0.0006060790847822,9.429400444030762,115,-1,0.0006061,potential prognostic - favorable,0.010914972712568218,0.42077711848326893
ENSG00000007952,0.1527819248508208,0.1757999956607818,95,1,0.1528,unprognostic - unfavorable,0.6586633533416166,0.8725290547241914
ENSG00000007968,0.0990278796523096,1.504899978637695,85,-1,0.09903,unprognostic - favorable,0.5044562388594028,0.8113610175175091
ENSG00000008018,0.0002985497904949,196.7689971923828,132,1,0.0002986,potential prognostic - unfavorable,0.0062949842625393436,0.3927303741062681
ENSG00000008056,0.1002608590694787,0.2540999948978424,129,1,0.1003,unprognostic - unfavorable,0.5083537291156772,0.8129023146181871
ENSG00000008083,0.0887586343239178,5.978300094604492,124,1,0.08876,unprognostic - unfavorable,0.47002632493418767,0.7962015942702977
ENSG00000008086,0.2771458590513706,1.4088000059127808,107,-1,0.251,unprognostic - favorable,0.8783103042242394,0.9588494540356768
ENSG00000008128,0.0174287766907916,6.47130012512207,126,1,0.01743,unprognostic - unfavorable,0.1464796338009155,0.5933990382898037
ENSG00000008130,0.0400982999591986,48.495399475097656,71,-1,0.0401,unprognostic - favorable,0.27168932077669805,0.6882769195294229
ENSG00000008256,0.3019963105036281,7.261300086975098,111,1,0.302,unprognostic - unfavorable,0.9050352374119065,0.9686093507306194
ENSG00000008277,0.000991460441458,1.2272000312805176,53,-1,0.0009915,potential prognostic - favorable,0.01609745975635061,0.45871083083486325
ENSG00000008282,0.0067193390832936,91.3270034790039,128,-1,0.006719,unprognostic - favorable,0.07142732143169642,0.5350457995426083
ENSG00000008283,0.0092955452593097,87.26840209960938,47,-1,0.009296,unprognostic - favorable,0.09138727153182118,0.5475730468115405
ENSG00000008294,0.3384008856981689,17.047100067138672,91,1,0.3384,unprognostic - unfavorable,0.9362851592871018,0.9784505036840078
ENSG00000008300,0.0146798538594786,1.983199954032898,55,-1,0.01468,unprognostic - favorable,0.12864967837580407,0.5805899797460706
ENSG00000008311,0.0777763188213909,0.0320999994874,116,1,0.07778,unprognostic - unfavorable,0.4305889235276912,0.7770686813243427
ENSG00000008323,0.1077640077319398,47.714698791503906,41,1,0.1078,unprognostic - unfavorable,0.5326311684220789,0.8206725272549419
ENSG00000008324,0.0571840857728113,44.12699890136719,34,-1,0.07921,unprognostic - favorable,0.3499341251646871,0.733937016557315
ENSG00000008382,0.0025019661838829,41.06660079956055,54,-1,0.002502,unprognostic - favorable,0.033149917125207186,0.48978138643363067
ENSG00000008394,0.3259956869553265,234.74099731445312,111,-1,0.326,unprognostic - favorable,0.9265201836995407,0.975017202687707
ENSG00000008405,0.0539497494908857,7.592899799346924,87,1,0.05395,unprognostic - unfavorable,0.3359191602020995,0.7245468204296392
ENSG00000008441,0.0022528349726846,18.584199905395508,57,-1,0.002253,unprognostic - favorable,0.03058742353144117,0.4884617438346995
ENSG00000008513,0.0804844790417536,28.837299346923828,35,-1,0.08048,unprognostic - favorable,0.4405463986340034,0.782169472626434
ENSG00000008516,0.1809039728316572,1.138700008392334,77,1,0.1809,unprognostic - unfavorable,0.7236606908482729,0.8995893501410661
ENSG00000008517,0.0700852603061212,31.638399124145508,133,-1,0.07009,unprognostic - favorable,0.40162649593376015,0.759836725165154
ENSG00000008710,0.0848205377172193,1.773300051689148,101,1,0.08482,unprognostic - unfavorable,0.4561988595028512,0.7902538040948986
ENSG00000008735,0.0908430391369233,0.0703999996185302,108,1,0.04946,unprognostic - unfavorable,0.47712630718423205,0.7985118534856245
ENSG00000008838,0.2680218956328157,28.38249969482422,118,1,0.268,unprognostic - unfavorable,0.8674078314804213,0.954946802556059
ENSG00000008853,0.0040680883794053,5.157199859619141,131,-1,0.003607,unprognostic - favorable,0.04844987887530281,0.5208007451262667
ENSG00000008869,0.3671862774332098,11.818400382995604,34,-1,0.3749,unprognostic - favorable,0.9546026134934663,0.985395229526632
ENSG00000008952,0.2003778257455067,67.06670379638672,54,-1,0.2004,unprognostic - favorable,0.7628980927547682,0.9170472064360268
ENSG00000008988,0.0049148847411959,1044.9300537109375,133,1,0.004915,unprognostic - unfavorable,0.056167359581601045,0.5267909365437854
ENSG00000009307,0.0462554715246194,232.6790008544922,62,-1,0.04626,unprognostic - favorable,0.3010267474331314,0.7062163813571501
ENSG00000009335,0.0422709474907662,22.062299728393555,107,-1,0.04227,unprognostic - favorable,0.2824267939330152,0.6941859886729593
ENSG00000009413,0.0508203528492963,0.2861000001430511,134,1,0.04768,unprognostic - unfavorable,0.32191169522076196,0.7187399531501171
ENSG00000009780,0.0097172973350812,10.914799690246582,38,-1,0.009717,unprognostic - favorable,0.0946222634443414,0.5502416562683693
ENSG00000009790,0.0023787160768683,3.47979998588562,61,-1,0.002379,unprognostic - favorable,0.03187492031269922,0.48978138643363067
ENSG00000009830,0.0060198429877495,8.366299629211426,85,1,0.00602,unprognostic - unfavorable,0.0657123357191607,0.5350457995426083
ENSG00000009844,0.0019109158797069,22.81329917907715,122,1,0.001911,unprognostic - unfavorable,0.02696993257516856,0.48241805866073567
ENSG00000009954,0.0178870622504,33.44889831542969,56,-1,0.01789,unprognostic - favorable,0.14935712660718348,0.5945755492851519
ENSG00000010017,0.105480919831595,22.603599548339844,76,-1,0.1055,unprognostic - favorable,0.5253836865407836,0.8182910618335808
ENSG00000010030,0.0334164812542594,5.244900226593018,130,-1,0.03342,unprognostic - favorable,0.23822190444523889,0.6706120361025038
ENSG00000010072,0.1525950372110565,7.040999889373779,39,-1,0.1526,unprognostic - favorable,0.6581783545541137,0.8723688703715144
ENSG00000010165,0.154516102564158,9.35099983215332,132,1,0.1232,unprognostic - unfavorable,0.6628383429041428,0.8733334945864658
ENSG00000010219,0.0051534068573413,3.426500082015991,69,1,0.005153,unprognostic - unfavorable,0.05842485393786515,0.5284326719130663
ENSG00000010244,0.3573003752890111,83.64559936523438,98,-1,0.3573,unprognostic - favorable,0.9488676278309304,0.9832254999176542
ENSG00000010256,0.0133541604630883,200.82400512695312,58,1,0.01335,unprognostic - unfavorable,0.11999470001324997,0.5742584536046803
ENSG00000010270,0.0087774668540966,37.66189956665039,46,1,0.008777,unprognostic - unfavorable,0.08752228119429702,0.5444393428880719
ENSG00000010278,0.2467127307855609,531.6240234375,100,1,0.2467,unprognostic - unfavorable,0.8388929027677431,0.9433293224589544
ENSG00000010292,0.0025116997849117,29.07270050048828,103,1,0.002512,unprognostic - unfavorable,0.03324491688770778,0.48978138643363067
