Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.0291223836519563,20.018800735473633,327,-1,0.02599,unprognostic - favorable,0.23934401639959002,0.9094261809491547
ENSG00000000419,0.0945452390486913,56.137901306152344,305,-1,0.09829,unprognostic - favorable,0.5348616284592885,0.9566272387776293
ENSG00000000457,0.2393713031630261,5.099100112915039,356,1,0.2319,unprognostic - unfavorable,0.8681782955426114,0.9883247460723813
ENSG00000000460,0.067341425531253,3.4786999225616455,381,-1,0.07045,unprognostic - favorable,0.4286142846428839,0.9269093702109804
ENSG00000000938,0.0829575003457263,4.795400142669678,343,1,0.09143,unprognostic - unfavorable,0.49153771155721104,0.9484193184584948
ENSG00000000971,0.2046270880800651,19.876399993896484,327,1,0.2155,unprognostic - unfavorable,0.8136296592585185,0.9848490596263246
ENSG00000001036,0.0651261467424545,27.27389907836914,386,1,0.06105,unprognostic - unfavorable,0.4196645083872903,0.9269093702109804
ENSG00000001084,0.2861740311503402,43.72819900512695,319,-1,0.2992,unprognostic - favorable,0.9211019724506887,0.995221619607417
ENSG00000001167,0.3120232296562022,14.635600090026855,285,1,0.3083,unprognostic - unfavorable,0.9441513962150946,0.9967195225492455
ENSG00000001460,0.0106612706119514,10.405699729919434,110,-1,0.01237,unprognostic - favorable,0.11159721006974825,0.8600979077031989
ENSG00000001461,0.1718301922863641,15.417200088500977,150,-1,0.1822,unprognostic - favorable,0.7498312542186445,0.979964704208575
ENSG00000001497,0.0311859494003041,17.784099578857422,238,-1,0.03293,unprognostic - favorable,0.2511937201569961,0.9110589471518784
ENSG00000001561,0.0006086518554593,5.696800231933594,127,1,0.000648,potential prognostic - unfavorable,0.012424689382765431,0.8600979077031989
ENSG00000001617,0.2064500045687712,43.13520050048828,204,-1,0.2147,unprognostic - favorable,0.8166795830104248,0.9848490596263246
ENSG00000001626,0.0304338018762131,2.272700071334839,101,1,0.03114,unprognostic - unfavorable,0.24671883202919928,0.9094261809491547
ENSG00000001629,0.0453214982884539,12.50409984588623,272,-1,0.04095,unprognostic - favorable,0.3278918027049324,0.9269093702109804
ENSG00000001630,0.2160466558422132,67.02960205078125,116,-1,0.2304,unprognostic - favorable,0.8333041673958151,0.9858314228798052
ENSG00000001631,0.0235739775248726,11.732099533081056,262,-1,0.022,unprognostic - favorable,0.2053198670033249,0.8991866688048956
ENSG00000002016,0.0125830821752016,3.2980000972747803,372,-1,0.01252,unprognostic - unfavorable,0.12614684632884177,0.8600979077031989
ENSG00000002330,0.1029736815684591,80.66410064697266,205,1,0.09615,unprognostic - unfavorable,0.5637859053523662,0.9619686086916522
ENSG00000002549,0.0025532271160673,62.67290115356445,259,1,0.002823,unprognostic - unfavorable,0.03784905377365566,0.8600979077031989
ENSG00000002586,0.1304387312037463,242.5590057373047,303,1,0.1255,unprognostic - unfavorable,0.647508812279693,0.9713741418642913
ENSG00000002587,0.0903217160354698,2.08240008354187,383,1,0.09126,unprognostic - unfavorable,0.5210619734506637,0.9545781134538533
ENSG00000002726,0.0038343457980807,0.6266000270843506,272,1,0.003435,unprognostic - unfavorable,0.05157371065723357,0.8600979077031989
ENSG00000002745,0.3248219040263405,0.3467999994754791,197,1,0.3126,unprognostic - unfavorable,0.9525511862203445,0.9967195225492455
ENSG00000002746,0.1719283221670996,1.1301000118255615,297,-1,0.177,unprognostic - favorable,0.7500562485937852,0.979964704208575
ENSG00000002822,0.1329661599474231,19.65329933166504,153,1,0.1222,unprognostic - unfavorable,0.6539586510337242,0.9713741418642913
ENSG00000002834,0.0133977950906885,100.2310028076172,166,1,0.01468,unprognostic - unfavorable,0.13209669758256043,0.8643252572447238
ENSG00000002919,0.0564459081701163,18.35059928894043,231,1,0.05983,unprognostic - unfavorable,0.3809654758631034,0.9269093702109804
ENSG00000002933,0.0428288124394435,73.55840301513672,149,1,0.0448,unprognostic - unfavorable,0.3154921126971826,0.9269093702109804
ENSG00000003056,0.0117317487491385,91.97100067138672,390,-1,0.01089,unprognostic - favorable,0.11942201444963876,0.8600979077031989
ENSG00000003096,0.0160616484239306,10.942399978637695,179,-1,0.01506,unprognostic - favorable,0.15244618884527886,0.8759466484593262
ENSG00000003137,0.1376299778444552,2.481100082397461,184,1,0.1347,unprognostic - unfavorable,0.6663333416664583,0.9727800454988624
ENSG00000003147,0.0327849038541866,12.56719970703125,131,1,0.03382,unprognostic - unfavorable,0.2602934926626834,0.9112016026759825
ENSG00000003249,0.1508084537604999,12.182600021362305,181,1,0.1535,unprognostic - unfavorable,0.7005074873128172,0.9771835265814401
ENSG00000003393,0.1154495189763318,5.274199962615967,173,1,0.1069,unprognostic - unfavorable,0.6037349066273343,0.9694167816227904
ENSG00000003400,0.2525713114548018,7.7032999992370605,180,1,0.2631,unprognostic - unfavorable,0.8855528611784705,0.9916896070261038
ENSG00000003402,0.003104661525048,38.06890106201172,366,1,0.002936,unprognostic - unfavorable,0.044073898152546184,0.8600979077031989
ENSG00000003436,0.0107541451221538,16.936899185180664,377,1,0.009886,unprognostic - unfavorable,0.11227219319517012,0.8600979077031989
ENSG00000003509,0.059280404824631,6.121099948883057,375,-1,0.06153,unprognostic - favorable,0.3937401564960876,0.9269093702109804
ENSG00000003756,0.2559669936626751,28.270999908447266,99,1,0.2273,unprognostic - unfavorable,0.8892027699307518,0.9918205578092022
ENSG00000003989,0.0641536392461964,2.393899917602539,201,1,0.06615,unprognostic - unfavorable,0.41573960650983727,0.9269093702109804
ENSG00000004059,0.0187064454766777,352.2409973144531,104,-1,0.01811,unprognostic - favorable,0.17192070198245044,0.8983072040951302
ENSG00000004139,0.1685594949163678,0.7893000245094299,351,-1,0.1778,unprognostic - favorable,0.7422564435889103,0.9790207971909245
ENSG00000004142,0.0277957744861373,89.24349975585938,202,-1,0.02566,unprognostic - favorable,0.23096922576935577,0.9094261809491547
ENSG00000004399,0.0009286558137106,16.563400268554688,343,1,0.001046,unprognostic - unfavorable,0.017324566885827855,0.8600979077031989
ENSG00000004455,0.1501861525761909,105.33599853515624,385,-1,0.1552,unprognostic - favorable,0.6990325241868953,0.9766067738258697
ENSG00000004468,0.4534497518067644,3.0590999126434326,343,1,0.4449,unprognostic - favorable,0.9946251343716407,0.9990254707611431
ENSG00000004478,0.0234135114574456,70.88980102539062,314,-1,0.02116,unprognostic - favorable,0.2043948901277468,0.8991866688048956
ENSG00000004487,0.1342829736553115,59.57120132446289,211,1,0.1288,unprognostic - unfavorable,0.6579835504112397,0.9721303798461689
ENSG00000004534,0.144405208586415,26.404300689697266,194,-1,0.1507,unprognostic - favorable,0.6848828779280518,0.974249808310521
ENSG00000004660,0.2170035364419321,7.173099994659424,110,-1,0.2181,unprognostic - unfavorable,0.8344791380215495,0.9858314228798052
ENSG00000004700,0.0733447937074536,27.992300033569336,135,1,0.07633,unprognostic - unfavorable,0.45361365965850853,0.9368094238724807
ENSG00000004766,0.2885717037626326,2.24429988861084,323,1,0.2754,unprognostic - unfavorable,0.9236269093272668,0.9961605532852222
ENSG00000004776,0.0554862379143305,1.9990999698638916,363,1,0.06078,unprognostic - unfavorable,0.3764405889852754,0.9269093702109804
ENSG00000004777,0.0699845017316479,2.7040998935699463,263,-1,0.07259,unprognostic - favorable,0.43921401964950874,0.9282115623716239
ENSG00000004779,0.0984051347881758,183.8209991455078,111,-1,0.09138,unprognostic - favorable,0.5478363040923977,0.9594238337187988
ENSG00000004799,0.0157552379388611,0.9200999736785888,390,1,0.01777,unprognostic - unfavorable,0.15029624259393515,0.8748703531215547
ENSG00000004838,0.2130510660127998,1.3539999723434448,153,1,0.2214,unprognostic - unfavorable,0.8280042998925027,0.9855209310293902
ENSG00000004864,0.1068777398912472,12.062299728393556,350,-1,0.1138,unprognostic - favorable,0.575785605359866,0.9635166004368387
ENSG00000004866,0.0965313683415199,15.98490047454834,265,1,0.08787,unprognostic - unfavorable,0.5416364590885228,0.9584332793569695
ENSG00000004897,0.0630364202884268,20.54010009765625,250,1,0.06893,unprognostic - unfavorable,0.4104147396315092,0.9269093702109804
ENSG00000004961,0.0781747783808286,18.14570045471191,377,-1,0.0813,unprognostic - favorable,0.473563160920977,0.9433638357431022
ENSG00000004975,0.3165450218850347,21.625600814819336,251,-1,0.3319,unprognostic - favorable,0.9472763180920477,0.9967195225492455
ENSG00000005001,0.1029937258006754,4.571899890899658,100,1,0.1068,unprognostic - unfavorable,0.563860903477413,0.9619686086916522
ENSG00000005007,0.1841796511705771,31.295499801635746,305,1,0.198,unprognostic - unfavorable,0.7759806004849878,0.9848490596263246
ENSG00000005020,0.0776523813086658,19.231399536132812,147,1,0.07979,unprognostic - unfavorable,0.47153821154471137,0.942724398479111
ENSG00000005022,0.1616337386184256,393.0610046386719,335,-1,0.1484,unprognostic - favorable,0.7271318217044573,0.9788729916473933
ENSG00000005059,0.0295176192283355,9.741600036621094,281,-1,0.03006,unprognostic - favorable,0.24161895952601184,0.9094261809491547
ENSG00000005073,0.1563580846920225,0.5594000220298767,280,-1,0.1642,unprognostic - favorable,0.7143321416964575,0.9788693882001485
ENSG00000005075,0.0620173544206563,72.50379943847656,386,-1,0.05799,unprognostic - favorable,0.4063398415039624,0.9269093702109804
ENSG00000005100,0.3071993304377299,8.291199684143066,216,-1,0.3053,unprognostic - favorable,0.9397765055873604,0.9966967264871117
ENSG00000005102,0.0840886814842773,1.0056999921798706,168,-1,0.07953,unprognostic - favorable,0.49558761030974224,0.949831117703286
ENSG00000005156,0.201293549858276,12.731399536132812,231,-1,0.1902,unprognostic - favorable,0.8077798055048624,0.9848490596263246
ENSG00000005175,0.0388187437020595,13.763500213623049,380,-1,0.02073,unprognostic - favorable,0.2945426364340891,0.9198960273245916
ENSG00000005187,0.0216622099499527,3.5922999382019043,164,1,0.02272,unprognostic - unfavorable,0.19307017324566886,0.8991866688048956
ENSG00000005189,0.0099288923313136,2.247999906539917,298,-1,0.01067,unprognostic - favorable,0.10572235694107647,0.8600979077031989
ENSG00000005194,0.1409607710617736,49.63330078125,142,1,0.148,unprognostic - unfavorable,0.6755581110472239,0.9733623704301324
ENSG00000005206,0.036332707643674,14.738499641418455,368,-1,0.03377,unprognostic - favorable,0.2809929751756206,0.9171439167997565
ENSG00000005238,0.0854970296332712,7.411399841308594,372,1,0.09445,unprognostic - unfavorable,0.5014124646883827,0.9516723605372754
ENSG00000005243,0.1297896064451828,30.753400802612305,261,-1,0.1323,unprognostic - favorable,0.6458588535286618,0.9713741418642913
ENSG00000005249,0.3175901319397035,2.771699905395508,101,-1,0.3131,unprognostic - favorable,0.9479513012174695,0.9967195225492455
ENSG00000005302,0.3568915442430578,15.72439956665039,125,-1,0.2997,unprognostic - unfavorable,0.9704507387315318,0.9967195225492455
ENSG00000005339,0.2227524486132534,16.378299713134766,259,1,0.2386,unprognostic - unfavorable,0.8439289017774556,0.9862338953161491
ENSG00000005379,0.2478762006694937,5.600800037384033,104,-1,0.2427,unprognostic - favorable,0.879128021799455,0.9913384193507612
ENSG00000005436,0.0033086339415755,11.892600059509276,254,-1,0.003759,unprognostic - favorable,0.04602384940376491,0.8600979077031989
ENSG00000005448,0.0550191336576984,16.886899948120117,352,1,0.05439,unprognostic - unfavorable,0.3746406339841504,0.9269093702109804
ENSG00000005469,0.0112027120274305,15.085599899291992,131,-1,0.01298,unprognostic - favorable,0.11557211069723257,0.8600979077031989
ENSG00000005483,0.0135579622276656,12.384599685668944,353,-1,0.01414,unprognostic - favorable,0.13364665883352916,0.8643252572447238
ENSG00000005486,0.0309943382264308,82.97229766845703,232,-1,0.033,unprognostic - favorable,0.25014374640633985,0.9110589471518784
ENSG00000005700,0.0077255518064496,3.227799892425537,342,1,0.007222,unprognostic - unfavorable,0.08722281942951426,0.8600979077031989
ENSG00000005801,0.2811320013588831,10.246700286865234,185,-1,0.2927,unprognostic - favorable,0.9166770830729232,0.9946439020183916
ENSG00000005810,0.1407546694558773,19.131000518798828,264,-1,0.1527,unprognostic - favorable,0.6749081272968176,0.9733623704301324
ENSG00000005812,0.1313021169045405,20.40539932250977,133,1,0.119,unprognostic - unfavorable,0.6496337591560211,0.9713741418642913
ENSG00000005844,0.2742733538115758,9.691900253295898,113,1,0.2771,unprognostic - unfavorable,0.9099772505687358,0.9946215439172451
ENSG00000005882,0.1572303867223434,11.915399551391602,340,-1,0.1473,unprognostic - favorable,0.7162070948226295,0.9788693882001485
ENSG00000005884,0.0001080392064962,49.62979888916016,204,1,9.31e-05,potential prognostic - unfavorable,0.003399915002124947,0.8600979077031989
ENSG00000005889,0.1245835044455828,10.349300384521484,104,-1,0.135,unprognostic - favorable,0.630259243518912,0.9706402184717472
ENSG00000005893,0.1260734825142429,67.00640106201172,324,-1,0.1321,unprognostic - favorable,0.6351841203969901,0.9706402184717472
