Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.0678303406719723,7.744200229644775,49,1,0.06783,unprognostic - unfavorable,0.35511161222096943,0.5945524182938535
ENSG00000000419,0.0146448929389679,43.7411003112793,16,1,0.01464,unprognostic - unfavorable,0.10232224419438951,0.3150036280377325
ENSG00000000457,0.0085289924716534,3.932300090789795,13,1,0.0111,unprognostic - unfavorable,0.06757233106917233,0.2625244336011967
ENSG00000000938,0.1376265734371221,1.656999945640564,36,-1,0.1376,unprognostic - favorable,0.5908510228724428,0.7779105272506152
ENSG00000000971,0.0263551044143782,3.870300054550171,22,1,0.02636,unprognostic - unfavorable,0.1613095967260082,0.3949005004053444
ENSG00000001036,0.0023073333520874,28.53039932250977,31,1,0.002307,unprognostic - unfavorable,0.024664938337654155,0.1756286364911097
ENSG00000001084,0.0060996688241166,19.96339988708496,25,1,0.0061,unprognostic - unfavorable,0.052077369806575485,0.2328236919986435
ENSG00000001167,0.0032315611015296,5.8231000900268555,30,1,0.003232,unprognostic - unfavorable,0.03175492061269847,0.19204716894898705
ENSG00000001460,0.0481728564674823,2.8210999965667725,15,1,0.04817,unprognostic - unfavorable,0.2653118367204082,0.506858141553424
ENSG00000001461,0.0048797809639945,15.21090030670166,21,1,0.00488,unprognostic - unfavorable,0.043602390994022515,0.21633493993188097
ENSG00000001497,0.0211710207042589,20.41160011291504,33,1,0.02117,unprognostic - unfavorable,0.13611965970085074,0.3617967430376483
ENSG00000001561,0.0809958468916252,21.62660026550293,14,1,0.081,unprognostic - unfavorable,0.41052147369631575,0.6433367560449024
ENSG00000001617,0.2389713743584486,107.0719985961914,17,1,0.239,unprognostic - unfavorable,0.7910530223674441,0.8881827552487059
ENSG00000001626,0.0036787204014586,135.45599365234375,13,1,0.005498,unprognostic - unfavorable,0.0350074124814688,0.19709469900054064
ENSG00000001629,2.9577984878219824e-06,8.804699897766113,17,1,2.958e-06,potential prognostic - unfavorable,0.0002699993250016875,0.044289889275276814
ENSG00000001630,0.000725996969829,122.37999725341795,14,1,0.000726,potential prognostic - unfavorable,0.010787473031317421,0.13259311208798757
ENSG00000001631,0.0002108982617539,22.83799934387207,14,1,0.0002109,potential prognostic - unfavorable,0.004627488431278922,0.09790674965987745
ENSG00000002016,1.6468357396020434e-05,2.9238998889923096,18,1,1.647e-05,potential prognostic - unfavorable,0.0008074979812550468,0.05729565041166762
ENSG00000002330,0.0034833355402024,88.95069885253906,25,1,0.003483,unprognostic - unfavorable,0.03352491618770953,0.19475178723663839
ENSG00000002549,0.0617163999304045,75.77069854736328,14,1,0.06172,unprognostic - unfavorable,0.32749918125204686,0.5672639318597246
ENSG00000002586,0.0203068041890155,47.15919876098633,13,1,0.04043,unprognostic - unfavorable,0.13172467068832328,0.3567470702272908
ENSG00000002587,0.2292533160053052,2.494800090789795,50,-1,0.2293,unprognostic - favorable,0.7744230639423402,0.8790671068675933
ENSG00000002726,0.0600553108745075,0.3955000042915344,19,-1,0.06006,unprognostic - favorable,0.32006919982700044,0.5606457177503247
ENSG00000002822,0.1336695367535639,9.465200424194336,38,1,0.1337,unprognostic - unfavorable,0.5812510468723828,0.771207204120568
ENSG00000002834,0.0505967420512846,69.9269027709961,13,1,0.06514,unprognostic - unfavorable,0.27680180799548,0.5188130374997804
ENSG00000002919,0.077932029816838,8.764399528503418,41,1,0.07793,unprognostic - unfavorable,0.398079004802488,0.6333263261669432
ENSG00000002933,0.3381273469912284,3.2427000999450684,39,-1,0.3381,unprognostic - favorable,0.9231901920245199,0.960641246881494
ENSG00000003056,0.0015233559681345,115.47200012207033,21,1,0.001523,unprognostic - unfavorable,0.018012454968862578,0.15400414262460485
ENSG00000003096,0.2068041360272577,5.014100074768066,45,1,0.2068,unprognostic - unfavorable,0.7341781645545886,0.855620879935697
ENSG00000003137,0.0420580896197074,0.426499992609024,44,1,0.04206,unprognostic - unfavorable,0.2365919085202287,0.47644690641228843
ENSG00000003147,0.113363001983241,35.12229919433594,28,1,0.1134,unprognostic - unfavorable,0.5257386856532859,0.7344642956865954
ENSG00000003249,0.0096270392297967,18.221599578857425,26,-1,0.009627,unprognostic - favorable,0.07413981465046338,0.27439992124253676
ENSG00000003393,0.0084795870079219,3.193000078201294,32,1,0.00848,unprognostic - unfavorable,0.06727983180042049,0.26207772651192823
ENSG00000003400,0.0760312715580545,1.4924999475479126,40,1,0.07603,unprognostic - unfavorable,0.3905740235649411,0.6265792176881383
ENSG00000003402,0.0087105618062343,18.166000366210938,33,1,0.008711,unprognostic - unfavorable,0.06864732838167904,0.26384641371344214
ENSG00000003436,0.0806606538817524,7.848899841308594,15,1,0.08066,unprognostic - unfavorable,0.4090689773275567,0.6423944571269644
ENSG00000003509,0.0209412864676673,7.309299945831299,21,1,0.02094,unprognostic - unfavorable,0.134882162794593,0.359803111233037
ENSG00000003756,0.0311842723975277,13.856300354003906,36,1,0.03118,unprognostic - unfavorable,0.18490453773865564,0.4218452254350133
ENSG00000003989,0.0016035866558312,7.150700092315674,13,1,0.004344,unprognostic - unfavorable,0.018764953087617282,0.15750469467793482
ENSG00000004059,0.0020834587085045,210.9600067138672,28,1,0.002083,unprognostic - unfavorable,0.022729943175142063,0.16911191101910514
ENSG00000004139,0.0668801541526852,1.705199956893921,13,1,0.1012,unprognostic - unfavorable,0.3508466228834428,0.5908802685545237
ENSG00000004142,0.0061544240386037,57.74919891357422,40,1,0.006154,unprognostic - unfavorable,0.05241736895657761,0.2329996273671523
ENSG00000004399,0.34139662333569,19.06010055541992,18,-1,0.3414,unprognostic - favorable,0.9261576846057885,0.9623388802189502
ENSG00000004455,5.4911106849894977e-05,101.33200073242188,15,1,5.491e-05,potential prognostic - unfavorable,0.0018024954937612657,0.06921092927815231
ENSG00000004478,0.0059720320299409,70.09269714355469,23,1,0.005972,unprognostic - unfavorable,0.051192372019069954,0.23159450017616018
ENSG00000004487,0.0136830490519917,26.86680030822754,27,1,0.01368,unprognostic - unfavorable,0.09710725723185692,0.30762113363892385
ENSG00000004534,0.0176672830702498,23.522499084472656,15,1,0.01767,unprognostic - unfavorable,0.11832970417573956,0.3370628511089391
ENSG00000004660,0.1420345220844378,1.4914000034332275,45,-1,0.142,unprognostic - favorable,0.6012609968475079,0.7830773245552674
ENSG00000004700,0.0096543336323555,10.92039966583252,26,1,0.009654,unprognostic - unfavorable,0.07426981432546419,0.27458869200435454
ENSG00000004766,0.0101677711888471,4.30049991607666,15,1,0.01017,unprognostic - unfavorable,0.07736980657548356,0.2786697262045134
ENSG00000004776,0.0319736514386143,9.573699951171877,14,1,0.03197,unprognostic - unfavorable,0.18860952847617882,0.42591006200934534
ENSG00000004777,0.0196587096711146,3.1328999996185303,16,1,0.01966,unprognostic - unfavorable,0.1283796790508024,0.35218416598880053
ENSG00000004779,0.2779619443049347,123.8030014038086,50,-1,0.1942,unprognostic - favorable,0.8514003714990712,0.9213680351936927
ENSG00000004799,0.1483425165066632,6.767099857330322,42,-1,0.1483,unprognostic - favorable,0.6152159619600951,0.791454621179588
ENSG00000004864,0.0029639050959966,13.624300003051758,21,1,0.002964,unprognostic - unfavorable,0.029694925762685592,0.18649967277061075
ENSG00000004866,0.0097897184461004,66.60130310058594,18,1,0.00979,unprognostic - unfavorable,0.0751198122004695,0.276107724853718
ENSG00000004897,0.0011691737046994,11.86139965057373,13,1,0.002059,unprognostic - unfavorable,0.014947462631343422,0.14405414492244115
ENSG00000004939,0.0248536883944944,97.2166976928711,46,-1,0.02485,unprognostic - favorable,0.15411961470096325,0.38700299366031626
ENSG00000004948,0.2979233177481333,0.0272000003606081,40,-1,0.2979,unprognostic - favorable,0.8783253041867395,0.9355924122009552
ENSG00000004961,0.0164762868844731,57.041500091552734,21,1,0.01648,unprognostic - unfavorable,0.11205971985070037,0.32898964140926296
ENSG00000004975,0.0029010928555624,10.90470027923584,24,1,0.002901,unprognostic - unfavorable,0.02922742693143267,0.18527901795703527
ENSG00000005001,0.0180311655301546,0.1103999987244606,35,-1,0.01803,unprognostic - favorable,0.1202071994820013,0.3396789759885324
ENSG00000005007,0.0138175721093306,52.74580001831055,16,1,0.01382,unprognostic - unfavorable,0.09786225534436165,0.30907910310447667
ENSG00000005020,0.0003204304865443,42.16230010986328,14,1,0.0003204,potential prognostic - unfavorable,0.0061599846000385,0.10761617816452353
ENSG00000005022,0.2488327131481575,1244.81005859375,13,1,0.2964,unprognostic - unfavorable,0.8071804820487949,0.8957024471739448
ENSG00000005059,0.0009882048963269,2.406399965286255,13,1,0.001524,unprognostic - unfavorable,0.013412466468833827,0.13916594888699987
ENSG00000005073,7.455858751264681e-05,5.170499801635742,24,1,7.456e-05,potential prognostic - unfavorable,0.002207494481263797,0.07423589395571967
ENSG00000005075,0.0275478586327079,91.77950286865234,21,1,0.02755,unprognostic - unfavorable,0.16716208209479477,0.40213816614779724
ENSG00000005100,0.0179695030859421,2.1175999641418457,31,1,0.01797,unprognostic - unfavorable,0.11991720020699949,0.3395008129469244
ENSG00000005108,0.0241485723613261,33.8760986328125,13,1,0.04636,unprognostic - unfavorable,0.15050712373219066,0.38225425078639136
ENSG00000005156,0.0053347453663119,4.21750020980835,22,1,0.005335,unprognostic - unfavorable,0.04678238304404239,0.22382951051968167
ENSG00000005175,0.0576809420730903,12.930100440979004,16,1,0.05768,unprognostic - unfavorable,0.3096142259644351,0.5507732325046698
ENSG00000005187,0.064981844739318,7.260499954223633,50,-1,0.03702,unprognostic - favorable,0.3422691443271392,0.582668817511172
ENSG00000005189,0.0019199275201658,1.1049000024795532,21,1,0.00192,unprognostic - unfavorable,0.021417446456383857,0.16451352719105206
ENSG00000005194,0.0642116536500752,29.057100296020508,29,1,0.06421,unprognostic - unfavorable,0.33890165274586814,0.5793539732669387
