Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.0623714148411594,63.683799743652344,115,-1,0.04707,unprognostic - favorable,0.391359021602446,0.9167176766735091
ENSG00000000005,0.164719838374514,0.209999993443489,179,1,0.1541,unprognostic - unfavorable,0.714730713173217,0.9680402456602554
ENSG00000000419,0.071544552721879,62.10020065307617,155,1,0.09082,unprognostic - unfavorable,0.4296614258464354,0.9271173729038761
ENSG00000000457,0.2359889555275409,6.8958001136779785,93,-1,0.2554,unprognostic - favorable,0.8487153782115545,0.9823857479129744
ENSG00000000460,0.0023282847410045,2.663599967956543,202,-1,0.003884,unprognostic - favorable,0.03278991802520494,0.7480248562273769
ENSG00000000938,0.2017383556542901,1.875599980354309,168,1,0.2396,unprognostic - unfavorable,0.7916355209111977,0.9738012454663602
ENSG00000000971,0.190817216983524,10.576899528503418,103,1,0.268,unprognostic - unfavorable,0.7709180727048183,0.9705038886262987
ENSG00000001036,0.0185420609716249,51.7943000793457,159,-1,0.0222,unprognostic - favorable,0.16371709070727322,0.8472708122740972
ENSG00000001084,0.1710800431519957,33.57529830932617,53,-1,0.1578,unprognostic - favorable,0.7292281769295577,0.9684968350737508
ENSG00000001167,0.282381939196447,16.45199966430664,99,1,0.2901,unprognostic - unfavorable,0.9067377331556671,0.9909527912509433
ENSG00000001460,0.0189065703889532,4.362400054931641,106,-1,0.0252,unprognostic - favorable,0.16610958472603818,0.8482547224492915
ENSG00000001461,0.0706838344152945,11.329400062561035,168,-1,0.06581,unprognostic - favorable,0.42624893437766403,0.9258901567439377
ENSG00000001497,0.0678450301780616,14.46679973602295,202,-1,0.09129,unprognostic - favorable,0.4145014637463406,0.9246535410919406
ENSG00000001561,0.1359333926251259,9.634599685668944,90,-1,0.1041,unprognostic - favorable,0.6431933920165199,0.9631292695650538
ENSG00000001617,0.1698090845543677,24.25349998474121,58,-1,0.1988,unprognostic - unfavorable,0.7264606838482904,0.9684968350737508
ENSG00000001626,0.0108483133603256,39.07659912109375,124,-1,0.01752,unprognostic - favorable,0.10951472621318446,0.8219023306555817
ENSG00000001629,0.3598384940243231,9.850299835205078,165,1,0.4135,unprognostic - favorable,0.9653925865185337,0.9949142286141357
ENSG00000001630,0.0016610111972206,73.21179962158203,106,-1,0.002938,unprognostic - favorable,0.02504493738765653,0.7283107314152383
ENSG00000001631,0.0265267316247766,7.899400234222412,199,1,0.03038,unprognostic - unfavorable,0.21295196762008095,0.8696583536894726
ENSG00000002016,0.154819782155522,5.416600227355957,83,1,0.1815,unprognostic - unfavorable,0.6913382716543208,0.9641843038900605
ENSG00000002330,0.0776352597813725,44.266300201416016,202,1,0.07811,unprognostic - unfavorable,0.4535363661590846,0.9289732026828551
ENSG00000002549,0.1154688614107726,52.61389923095703,202,-1,0.07416,unprognostic - favorable,0.5836610408473979,0.9532481558445123
ENSG00000002586,0.0238028719438399,299.1549987792969,70,1,0.03614,unprognostic - unfavorable,0.19687200781998046,0.8659950114556745
ENSG00000002587,0.0236409725083984,5.460100173950195,127,-1,0.01831,unprognostic - favorable,0.19587451031372421,0.8659950114556745
ENSG00000002726,0.013148290928177,63.058101654052734,185,-1,0.01843,unprognostic - favorable,0.1264321839195402,0.822399169096954
ENSG00000002746,0.00104617881562,1.2102999687194824,118,1,0.001449,unprognostic - unfavorable,0.017344956637608405,0.6848508671235526
ENSG00000002822,0.0182760680720324,20.248600006103516,56,1,0.01627,unprognostic - unfavorable,0.16193459516351208,0.8470325808252248
ENSG00000002834,0.287988130037093,145.11000061035156,142,1,0.2958,unprognostic - unfavorable,0.912317719205702,0.9909949978221152
ENSG00000002919,0.0672913003913798,10.15779972076416,201,-1,0.03981,unprognostic - favorable,0.4122264694338264,0.9238880885351186
ENSG00000002933,0.1570413921304159,402.6159973144531,51,1,0.1633,unprognostic - unfavorable,0.696640758398104,0.9652144060419346
ENSG00000003056,0.0249190164268747,111.25800323486328,55,1,0.02812,unprognostic - unfavorable,0.2034269914325214,0.8659950114556745
ENSG00000003096,0.0980196811907738,3.1417999267578125,54,-1,0.08948,unprognostic - favorable,0.5273661815845461,0.9416431222373985
ENSG00000003137,0.2152460968204334,1.333799958229065,56,1,0.2051,unprognostic - unfavorable,0.8159904600238499,0.9760571089202157
ENSG00000003147,0.020837146997645,74.9937973022461,51,1,0.02726,unprognostic - unfavorable,0.17858705353236617,0.8593259172762275
ENSG00000003249,0.2990829613009411,23.843299865722656,70,1,0.2352,unprognostic - unfavorable,0.9226576933557666,0.9909949978221152
ENSG00000003393,0.1138629409936117,2.2016000747680664,199,1,0.09176,unprognostic - unfavorable,0.5786235534411164,0.9526887434733834
