Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.2477470699901835,37.612998962402344,80.0,1.0,0.2415,unprognostic - unfavorable,0.8343054142364644,0.9812671929760988
ENSG00000000419,0.2198713251671627,63.18989944458008,49.0,1.0,0.2183,unprognostic - unfavorable,0.7899780250549374,0.9778675461514633
ENSG00000000457,0.0705917252366502,8.472599983215332,58.0,-1.0,0.07048,unprognostic - favorable,0.38861902845242885,0.964069421667393
ENSG00000000460,0.0064978958607118,2.7288999557495117,64.0,1.0,0.006475,unprognostic - unfavorable,0.06020234949412626,0.9497425889943129
ENSG00000000938,0.0964434359133535,3.5643999576568604,68.0,-1.0,0.09552,unprognostic - favorable,0.4826887932780168,0.9687682140794648
ENSG00000000971,0.0325983404211955,3.958699941635132,115.0,1.0,0.03294,unprognostic - unfavorable,0.21868195329511675,0.9637068045494751
ENSG00000001036,0.0791470429876014,72.1250991821289,35.0,1.0,0.0793,unprognostic - unfavorable,0.4211639470901323,0.964069421667393
ENSG00000001084,0.1369299390191234,11.778800010681152,86.0,1.0,0.1369,unprognostic - unfavorable,0.6065409836475408,0.9687682140794648
ENSG00000001167,0.1326585588825637,16.045499801635742,85.0,1.0,0.1308,unprognostic - unfavorable,0.5946360134099665,0.9687682140794648
ENSG00000001460,0.0509080739730272,5.230199813842773,98.0,-1.0,0.05333,unprognostic - favorable,0.3062767343081642,0.9637068045494751
ENSG00000001461,0.0724299271851394,6.174900054931641,123.0,-1.0,0.07209,unprognostic - favorable,0.39581651045872385,0.964069421667393
ENSG00000001497,0.0270129055820596,28.535600662231445,79.0,-1.0,0.02692,unprognostic - favorable,0.18931952670118324,0.9637068045494751
ENSG00000001561,0.2517272268942785,8.431599617004395,60.0,1.0,0.2507,unprognostic - unfavorable,0.8401728995677511,0.982183644084198
ENSG00000001617,0.114028503937873,40.240501403808594,60.0,-1.0,0.115,unprognostic - favorable,0.5395386511533721,0.9687682140794648
ENSG00000001626,0.0016896040546366,0.3116999864578247,70.0,1.0,0.001643,unprognostic - unfavorable,0.020369949075127312,0.8987027532431169
ENSG00000001629,0.0961672369282011,9.932700157165527,78.0,1.0,0.09608,unprognostic - unfavorable,0.48176629558426104,0.9687682140794648
ENSG00000001630,0.0791560810661727,22.641599655151367,108.0,-1.0,0.07712,unprognostic - favorable,0.4212114469713826,0.964069421667393
ENSG00000001631,0.1525714126027124,9.622599601745604,51.0,-1.0,0.151,unprognostic - favorable,0.6473733815665461,0.9687682140794648
ENSG00000002016,0.1205805311291619,5.611000061035156,61.0,-1.0,0.1222,unprognostic - favorable,0.5598861002847493,0.9687682140794648
ENSG00000002330,0.2393834811812618,68.3510971069336,139.0,-1.0,0.2397,unprognostic - favorable,0.821772945567636,0.9806383079793829
ENSG00000002549,0.2335915824060771,82.23930358886719,52.0,-1.0,0.2306,unprognostic - favorable,0.8127154682113295,0.979196613163344
ENSG00000002586,0.1636868208984928,244.4969940185547,50.0,1.0,0.1605,unprognostic - unfavorable,0.6744883137792156,0.9709538586325066
ENSG00000002587,0.0276336174284769,5.5183000564575195,67.0,-1.0,0.02822,unprognostic - favorable,0.19265951835120412,0.9637068045494751
ENSG00000002726,0.0007506389814078,49.2130012512207,35.0,1.0,0.0009506,potential prognostic - unfavorable,0.010597473506316233,0.826801313278407
ENSG00000002746,0.0180787008169499,1.29229998588562,44.0,1.0,0.0187,unprognostic - unfavorable,0.13809215476961306,0.9497496525921607
ENSG00000002822,0.3551679720354104,12.073599815368652,108.0,1.0,0.3526,unprognostic - unfavorable,0.9433476416308959,0.9906699220217096
ENSG00000002834,0.1419925917944446,128.69500732421875,38.0,1.0,0.1393,unprognostic - unfavorable,0.6200709498226255,0.9687682140794648
ENSG00000002919,0.2203850582049642,9.183199882507324,139.0,-1.0,0.207,unprognostic - favorable,0.7908155229611926,0.9779148279402029
ENSG00000002933,0.0402079639378135,70.54019927978516,40.0,1.0,0.0412,unprognostic - unfavorable,0.25700185749535626,0.9637068045494751
ENSG00000003056,0.0957158374004797,107.71600341796876,73.0,-1.0,0.09502,unprognostic - favorable,0.4801912995217512,0.9687682140794648
ENSG00000003096,0.0288013916200948,2.747999906539917,100.0,1.0,0.02815,unprognostic - unfavorable,0.19903700240749397,0.9637068045494751
ENSG00000003137,0.154563759244391,0.4515999853610992,68.0,1.0,0.1539,unprognostic - unfavorable,0.6521783695540762,0.9687682140794648
ENSG00000003147,0.028171588379272,13.785699844360352,139.0,1.0,0.02814,unprognostic - unfavorable,0.19560701098247255,0.9637068045494751
ENSG00000003249,0.141924144325216,65.56089782714844,36.0,1.0,0.137,unprognostic - unfavorable,0.6199059502351244,0.9687682140794648
ENSG00000003393,0.0581999788697301,0.954800009727478,129.0,1.0,0.05794,unprognostic - unfavorable,0.33771915570211075,0.964069421667393
ENSG00000003400,0.0143197202661827,3.077800035476685,104.0,1.0,0.01426,unprognostic - unfavorable,0.11449221376946557,0.9497496525921607
ENSG00000003402,0.0879593899855481,23.119300842285156,104.0,1.0,0.0877,unprognostic - unfavorable,0.4532538668653328,0.9667450831372922
ENSG00000003436,0.1401666650217174,5.0802001953125,59.0,1.0,0.138,unprognostic - unfavorable,0.6152784618038455,0.9687682140794648
ENSG00000003509,0.2061342493302712,12.245200157165527,40.0,-1.0,0.2072,unprognostic - favorable,0.7651780870547824,0.9744672197092931
ENSG00000003756,0.1868569261884213,23.146699905395508,128.0,-1.0,0.1887,unprognostic - favorable,0.7264681838295405,0.9719743195319087
ENSG00000003987,0.08768302909807,0.5023000240325928,118.0,1.0,0.08624,unprognostic - unfavorable,0.45226386934032664,0.9667450831372922
ENSG00000003989,0.0584106125979087,0.2340999990701675,126.0,1.0,0.05913,unprognostic - unfavorable,0.3385966535083662,0.964069421667393
ENSG00000004059,0.0697139197013739,350.968994140625,69.0,-1.0,0.06875,unprognostic - favorable,0.3853590366024085,0.964069421667393
ENSG00000004139,0.3791010238979017,6.2846999168396,47.0,1.0,0.3773,unprognostic - unfavorable,0.9569326076684809,0.9927926163458438
ENSG00000004142,0.2633235361357565,81.54170227050781,83.0,1.0,0.2605,unprognostic - unfavorable,0.8559053602365994,0.982183644084198
