Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.4770573439956637,36.19179916381836,75,1,0.4035,unprognostic - unfavorable,0.9922525193687016,0.9971270768047535
ENSG00000000419,0.1089050230071683,69.93280029296875,118,-1,0.1284,unprognostic - favorable,0.5421511446221384,0.7659396467073262
ENSG00000000457,0.02250019626956,10.250200271606444,62,1,0.0254,unprognostic - unfavorable,0.17125457186357035,0.4809909980256983
ENSG00000000460,0.0928003723294072,7.40399980545044,100,1,0.07516,unprognostic - unfavorable,0.4877237806905483,0.7336340805679149
ENSG00000000938,0.057620227954457,7.666600227355957,81,-1,0.05317,unprognostic - favorable,0.3489291276771808,0.6380156017112162
ENSG00000000971,0.1144543546873597,9.117799758911133,199,1,0.1016,unprognostic - unfavorable,0.5598986002534994,0.7756969217892141
ENSG00000001036,0.0192460236925373,62.542198181152344,68,1,0.02132,unprognostic - unfavorable,0.1513446216384459,0.45849075540218415
ENSG00000001084,0.0161385914902222,32.567501068115234,62,-1,0.01522,unprognostic - unfavorable,0.13151467121332197,0.43368193284062245
ENSG00000001167,0.01190017369982,17.259599685668945,97,1,0.008616,unprognostic - unfavorable,0.10314724213189468,0.398538939754887
ENSG00000001460,0.0817153668763431,10.461299896240234,65,1,0.08605,unprognostic - unfavorable,0.4467288831777921,0.7054392635083077
ENSG00000001461,0.0012624018333033,10.735699653625488,196,1,0.00101,unprognostic - unfavorable,0.01594246014384964,0.21370824330292115
ENSG00000001497,0.0022117109773882,24.989099502563477,167,-1,0.002636,unprognostic - favorable,0.025894935262661845,0.25266632361327634
ENSG00000001561,0.0252894696286334,1.1200000047683716,158,1,0.03107,unprognostic - unfavorable,0.1872820317949205,0.49567445855190545
ENSG00000001617,0.1622343614871757,106.89600372314452,79,1,0.1323,unprognostic - unfavorable,0.6915957710105725,0.849030178964837
ENSG00000001626,0.1851886932118236,0.0159000009298324,131,-1,0.2209,unprognostic - favorable,0.7433231416921458,0.8776954855969114
ENSG00000001629,0.0020155912327059,10.169500350952148,178,1,0.001686,unprognostic - unfavorable,0.023879940300149248,0.24548443235553852
ENSG00000001630,3.819006614763016e-05,30.657400131225582,179,1,3.275e-05,potential prognostic - unfavorable,0.0009849975375061562,0.11075495567075036
ENSG00000001631,0.0138385430924174,5.012199878692627,211,1,0.01244,unprognostic - unfavorable,0.11648970877572806,0.4156662302071182
ENSG00000002016,0.0035048419023883,4.272600173950195,119,1,0.004284,unprognostic - unfavorable,0.037909905225236934,0.28427105288825927
ENSG00000002330,0.0764386229427572,121.87000274658205,57,1,0.1003,unprognostic - unfavorable,0.4269964325089187,0.6944257487994019
ENSG00000002549,0.1441497908133345,98.54109954833984,90,-1,0.1301,unprognostic - favorable,0.6462158844602889,0.8262836216587174
ENSG00000002586,0.1263536982374269,311.63800048828125,112,1,0.1365,unprognostic - unfavorable,0.5961535096162259,0.7978164856746132
ENSG00000002587,0.0211267865499618,9.391200065612791,90,1,0.02384,unprognostic - unfavorable,0.16299459251351872,0.47096345904553566
ENSG00000002726,0.0711850820308081,2.140500068664551,105,1,0.05778,unprognostic - unfavorable,0.4060914847712881,0.68077897763897
ENSG00000002746,0.0003506892622487,1.0770000219345093,66,1,0.0003946,potential prognostic - unfavorable,0.0056674858312854215,0.1618245708322737
ENSG00000002822,0.3499608825861481,29.129600524902344,57,1,0.3775,unprognostic - unfavorable,0.9520451198872003,0.9783888345805172
ENSG00000002834,0.0002338286037699,112.26599884033205,119,1,0.0001817,potential prognostic - unfavorable,0.00405748985627536,0.14567794644869825
ENSG00000002919,0.0079272622193893,22.683300018310547,68,1,0.009021,unprognostic - unfavorable,0.07466731333171667,0.3577875092948451
ENSG00000002933,0.1294031740663264,9.238699913024902,224,-1,0.1432,unprognostic - favorable,0.6049809875475312,0.8029590377574977
ENSG00000003056,0.1824090721936903,102.65799713134766,151,-1,0.1636,unprognostic - favorable,0.7374756563108592,0.8745163828310181
ENSG00000003096,0.194478320585295,4.683800220489502,104,1,0.163,unprognostic - unfavorable,0.7621630945922635,0.8875381893915207
ENSG00000003137,0.0998925022796915,2.471100091934204,128,1,0.1155,unprognostic - unfavorable,0.5121762195594511,0.7492049278650503
ENSG00000003147,0.055622640466349,24.06439971923828,70,1,0.0588,unprognostic - unfavorable,0.34024414938962655,0.6311912586156394
ENSG00000003249,0.0204006863300701,12.973299980163574,167,1,0.01703,unprognostic - unfavorable,0.15855460361349097,0.4649032463928217
ENSG00000003393,0.0841849276875909,5.256999969482422,59,1,0.0909,unprognostic - unfavorable,0.45605135987160034,0.711522531455046
ENSG00000003400,0.2534858836500305,10.974200248718262,101,-1,0.2357,unprognostic - favorable,0.8604153489616276,0.9344358068799348
ENSG00000003402,0.014700852236494,28.578500747680664,207,1,0.02253,unprognostic - unfavorable,0.12218469453826365,0.42179951625031753
ENSG00000003436,0.0012806070261429,9.943099975585938,129,1,0.001599,unprognostic - unfavorable,0.016149959625100938,0.21394160995471828
ENSG00000003509,0.1225148367858901,4.538400173187256,225,-1,0.1084,unprognostic - favorable,0.5846810382974043,0.7906002955909837
ENSG00000003756,0.0614173272719893,22.114500045776367,207,1,0.05428,unprognostic - unfavorable,0.365436586408534,0.6511864478938312
ENSG00000003989,0.1402096175517557,1.2410999536514282,136,1,0.1588,unprognostic - unfavorable,0.6357459106352235,0.820393058438224
ENSG00000004059,0.2460838526936064,232.87600708007812,194,-1,0.2604,unprognostic - favorable,0.8500478748803127,0.9299503080427819
ENSG00000004139,0.157760807726415,2.4395999908447266,57,1,0.1954,unprognostic - favorable,0.6808182979542551,0.8437516585634373
ENSG00000004142,0.0002911487901186,100.05999755859376,67,1,0.0003561,potential prognostic - unfavorable,0.004862487843780391,0.15518410985631925
ENSG00000004399,0.2059065853894696,14.832300186157228,151,1,0.2237,unprognostic - unfavorable,0.7837130407173982,0.8987080129342921
ENSG00000004455,0.0270394150673076,137.01800537109375,217,-1,0.0299,unprognostic - favorable,0.19727200681998294,0.5040391860003264
ENSG00000004468,0.0116913379173542,4.793700218200684,69,-1,0.01107,unprognostic - favorable,0.10168974577563557,0.3961884938156309
ENSG00000004478,0.010001737945707,72.6083984375,185,1,0.008896,unprognostic - unfavorable,0.08984977537556156,0.379419870227617
ENSG00000004487,0.0860614176850583,54.152801513671875,211,1,0.07647,unprognostic - unfavorable,0.4630988422528944,0.7159429991450597
ENSG00000004534,0.4399789185087381,42.28049850463867,131,-1,0.461,unprognostic - unfavorable,0.9865550336124159,0.9947848983349388
ENSG00000004660,0.4910811000096022,3.466399908065796,225,1,0.4687,unprognostic - favorable,0.9936550158624603,0.9978200028539388
ENSG00000004700,0.0765384390087247,20.132400512695312,119,1,0.08376,unprognostic - unfavorable,0.4273414316464209,0.694675273566215
ENSG00000004766,0.0127895263918577,2.887900114059448,123,1,0.01583,unprognostic - unfavorable,0.10930972672568319,0.4055746971601959
ENSG00000004776,0.1124879066855317,1.690500020980835,211,-1,0.1212,unprognostic - favorable,0.5537511156222109,0.7721003491396875
ENSG00000004777,0.3464996704115234,6.600599765777588,165,1,0.3551,unprognostic - unfavorable,0.9498601253496867,0.9769330644384676
ENSG00000004779,0.0079111930525867,161.10400390625,116,-1,0.006828,unprognostic - favorable,0.074559813600466,0.3576356138474733
ENSG00000004799,0.0002415910527548,0.0980999991297721,224,-1,0.0002772,potential prognostic - favorable,0.004147489631275922,0.14708884376933312
ENSG00000004838,0.0007152874064394,0.0394000001251697,199,-1,0.0009411,potential prognostic - favorable,0.01002247494381264,0.18889418685544196
ENSG00000004848,0.0131228649607671,0.0265999995172023,99,-1,0.01142,unprognostic - favorable,0.11150972122569694,0.40854976165161255
ENSG00000004864,0.0011286012290564,19.08009910583496,71,1,0.001367,unprognostic - unfavorable,0.014522463693840765,0.21076393362962645
ENSG00000004866,0.3192608667229301,11.68000030517578,222,1,0.3,unprognostic - unfavorable,0.9305901735245662,0.967231432953232
ENSG00000004897,0.0134538116211229,11.249799728393556,202,1,0.01187,unprognostic - unfavorable,0.11385221536946158,0.4114783677273296
ENSG00000004939,0.2308613787198619,0.6175000071525574,103,1,0.2518,unprognostic - unfavorable,0.8263254341864146,0.9192780799012801
ENSG00000004961,0.019125248800819,28.13139915466309,158,-1,0.02263,unprognostic - favorable,0.1505921235196912,0.4570656695743198
