Gene,p_ours,cutoff,n_high,direction,p_hpa,label,p_cal,q
ENSG00000000003,0.0717068938499674,18.687599182128903,379,1,0.07077,unprognostic - unfavorable,0.4406889827754306,0.7200669579007561
ENSG00000000419,0.0911601942409011,49.94340133666992,184,1,0.08941,unprognostic - unfavorable,0.5162620934476638,0.7679232915881729
ENSG00000000457,0.2465776362965353,9.757699966430664,114,-1,0.2456,unprognostic - favorable,0.8746781330466739,0.9551537007281702
ENSG00000000460,0.0002694127590446,3.1882998943328857,243,1,0.0002643,validated prognostic - unfavorable,0.004624884377890553,0.08171367572098123
ENSG00000000938,0.0245122840928769,11.833600044250488,197,-1,0.02494,unprognostic - favorable,0.20156996075098121,0.4995180461435726
ENSG00000000971,0.1761272172775565,27.680999755859375,324,1,0.1752,unprognostic - unfavorable,0.7528311792205195,0.8997503553986004
ENSG00000001036,5.4297132042993325e-05,45.97600173950195,218,1,5.33e-05,potential prognostic - unfavorable,0.001224969375765606,0.04645751465467862
ENSG00000001084,0.0009035266800579,18.3710994720459,279,1,0.0008889,potential prognostic - unfavorable,0.014224644383890402,0.14604286418498344
ENSG00000001167,0.0135557674196965,11.82069969177246,393,1,0.01353,unprognostic - unfavorable,0.12804679883002926,0.40537293261510987
ENSG00000001460,0.0043257680655897,3.371999979019165,365,1,0.004275,unprognostic - unfavorable,0.05277368065798355,0.26802219253559567
ENSG00000001461,0.0700864815168672,13.384499549865724,259,-1,0.07077,unprognostic - favorable,0.4334641633959151,0.7146989415240059
ENSG00000001497,0.0616861813905166,15.721599578857422,208,1,0.06098,unprognostic - unfavorable,0.3972650683732907,0.6878933748487274
ENSG00000001561,0.0094447804158196,9.26360034942627,342,-1,0.009595,unprognostic - favorable,0.09747256318592035,0.3630428489477109
ENSG00000001617,0.0319510292873818,21.202699661254883,109,1,0.03226,unprognostic - unfavorable,0.24734381640458988,0.5514679346254971
ENSG00000001626,0.0003040584182345,0.9645000100135804,323,-1,0.0003023,potential prognostic - favorable,0.005399865003374916,0.08961103306500579
ENSG00000001629,0.0265525504972846,13.703399658203123,218,1,0.02615,unprognostic - unfavorable,0.21446963825904353,0.5139579972413959
ENSG00000001630,0.0505461010492078,35.74869918823242,280,1,0.05012,unprognostic - unfavorable,0.3438664033399165,0.6424502803917176
ENSG00000001631,0.3361552571579034,13.494000434875488,100,-1,0.3442,unprognostic - unfavorable,0.9563010924726881,0.9844516577086967
ENSG00000002016,0.231235272301049,5.075300216674805,129,1,0.2291,unprognostic - unfavorable,0.8538786530336742,0.9476185184282685
ENSG00000002330,0.0308001070460119,55.28779983520508,396,-1,0.0277,unprognostic - favorable,0.24079398015049625,0.5433547456420623
ENSG00000002549,0.0800402498589908,127.24199676513672,100,1,0.1059,unprognostic - unfavorable,0.4732131696707582,0.7418622659765424
ENSG00000002586,0.0002019144488707,313.9670104980469,117,1,0.000205,validated prognostic - unfavorable,0.003674908127296818,0.07297948361383927
ENSG00000002587,0.2296632693060216,10.934100151062012,162,1,0.231,unprognostic - unfavorable,0.8513287167820804,0.946398354207372
ENSG00000002726,0.1352411981763564,13.402099609375,190,-1,0.1367,unprognostic - favorable,0.6541336466588336,0.8480818383758332
ENSG00000002745,0.0024818967481569,0.1027999967336654,279,-1,0.002506,unprognostic - favorable,0.033224169395765106,0.21320407616168882
ENSG00000002746,0.1373518911315365,1.2519999742507937,296,1,0.1383,unprognostic - unfavorable,0.660033499162521,0.8510092167304347
ENSG00000002822,0.1067656572542951,22.602500915527344,123,1,0.1084,unprognostic - unfavorable,0.5688107797305068,0.7998859192645232
ENSG00000002834,0.000305576212714,98.3656997680664,332,1,0.0003138,potential prognostic - unfavorable,0.00542486437839054,0.08962264745173083
ENSG00000002919,0.2397113555388338,17.975200653076172,169,-1,0.2431,unprognostic - favorable,0.8659783505412365,0.952705339711772
ENSG00000002933,0.0608471149728405,91.14530181884766,216,-1,0.0619,unprognostic - favorable,0.3932151696207595,0.6846202753356939
ENSG00000003056,0.1696870684384845,100.1510009765625,220,1,0.1679,unprognostic - unfavorable,0.7387565310867228,0.8937771820157141
ENSG00000003096,0.0234877620793712,1.937000036239624,110,-1,0.02358,unprognostic - favorable,0.19559511012224695,0.4920059095709308
ENSG00000003137,0.1041136909496245,1.5003999471664429,227,1,0.1032,unprognostic - unfavorable,0.5610609734756631,0.796050446401852
ENSG00000003147,0.3766278607138499,49.19049835205078,122,-1,0.3751,unprognostic - favorable,0.9764755881102972,0.9928971225715911
